Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
48,Rotate Image,Array,61.1%,Medium,2.00035,https://leetcode.com/problems/rotate-image
152,Maximum Product Subarray,"Array, Dynamic Programming",32.9%,Medium,3.62117,https://leetcode.com/problems/maximum-product-subarray
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,0.282411,https://leetcode.com/problems/number-of-islands
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,2.95088,https://leetcode.com/problems/sliding-window-maximum
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,1.43226,https://leetcode.com/problems/reconstruct-itinerary
713,Subarray Product Less Than K,"Array, Two Pointers",40.6%,Medium,53.6464,https://leetcode.com/problems/subarray-product-less-than-k
1012,Numbers With Repeated Digits,"Math, Dynamic Programming",37.9%,Hard,100.0,https://leetcode.com/problems/numbers-with-repeated-digits
1048,Longest String Chain,"Hash Table, Dynamic Programming",55.7%,Medium,2.24638,https://leetcode.com/problems/longest-string-chain
1177,Can Make Palindrome from Substring,"Array, String",36.0%,Medium,38.0825,https://leetcode.com/problems/can-make-palindrome-from-substring
1223,Dice Roll Simulation,Dynamic Programming,46.7%,Hard,84.6028,https://leetcode.com/problems/dice-roll-simulation
1319,Number of Operations to Make Network Connected,"Depth-first Search, Breadth-first Search, Union Find",55.6%,Medium,4.44253,https://leetcode.com/problems/number-of-operations-to-make-network-connected
1338,Reduce Array Size to The Half,"Array, Greedy",67.7%,Medium,6.0971,https://leetcode.com/problems/reduce-array-size-to-the-half
1370,Increasing Decreasing String,"String, Sort",77.5%,Easy,36.0127,https://leetcode.com/problems/increasing-decreasing-string
1411,Number of Ways to Paint N × 3 Grid,Dynamic Programming,60.6%,Hard,54.6872,https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid
