Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,25.4527,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,5.27202,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,4.50949,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,5.52902,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,9.66158,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,26.0%,Easy,0.82103,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,2.05211,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,3.65592,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,1.13971,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",57.2%,Medium,18.5099,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,0.847136,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,0.822712,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,8.62799,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,4.05631,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,6.47727,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",35.2%,Medium,7.42462,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,1.21133,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,6.18478,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,25.5494,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,1.34058,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,40.5555,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,0.196358,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,45.6%,Hard,8.74178,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,0.0593685,https://leetcode.com/problems/remove-duplicates-from-sorted-array
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,0.515615,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.9%,Medium,0.844149,https://leetcode.com/problems/divide-two-integers
30,Substring with Concatenation of All Words,"Hash Table, Two Pointers, String",26.4%,Hard,0.884808,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,Next Permutation,Array,33.9%,Medium,2.08408,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,0.949817,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,12.552,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,2.18805,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35,Search Insert Position,"Array, Binary Search",42.9%,Easy,0.126272,https://leetcode.com/problems/search-insert-position
36,Valid Sudoku,Hash Table,51.0%,Medium,10.4222,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,0.512795,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,46.3%,Medium,1.24294,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",59.9%,Medium,0.383895,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,0.706886,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,34.1%,Hard,1.75353,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,22.2409,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",35.2%,Medium,0.671712,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,0.920036,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",31.8%,Medium,7.21345,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,67.3%,Medium,1.25243,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,50.0%,Medium,0.709388,https://leetcode.com/problems/permutations-ii
48,Rotate Image,Array,61.1%,Medium,5.30836,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,10.8437,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,0.959723,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,50.4%,Hard,1.1301,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,2.24851,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,0.743113,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",35.3%,Medium,4.21857,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",41.5%,Medium,19.5058,https://leetcode.com/problems/merge-intervals
