Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,100.0,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,58.4675,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,18.5058,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,48.1845,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,17.5419,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,38.4%,Medium,1.20436,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,26.0%,Easy,13.4538,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,14.426,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,50.2%,Easy,1.03948,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,7.72011,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,5.83498,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",57.2%,Medium,23.1992,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,8.1176,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,14.5889,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,21.1784,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,14.7272,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,5.47916,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",35.2%,Medium,5.94965,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,1.55568,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,22.0964,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,6.80019,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,14.4739,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,29.7047,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,4.95764,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,45.6%,Hard,10.2127,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,0.500469,https://leetcode.com/problems/remove-duplicates-from-sorted-array
27,Remove Element,"Array, Two Pointers",49.6%,Easy,0.209294,https://leetcode.com/problems/remove-element
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,4.28161,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.9%,Medium,3.9643,https://leetcode.com/problems/divide-two-integers
31,Next Permutation,Array,33.9%,Medium,14.3817,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,2.00571,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,9.88066,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,7.12307,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35,Search Insert Position,"Array, Binary Search",42.9%,Easy,1.06207,https://leetcode.com/problems/search-insert-position
36,Valid Sudoku,Hash Table,51.0%,Medium,24.8678,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,12.4765,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,46.3%,Medium,5.80578,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",59.9%,Medium,3.20156,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,1.49271,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,34.1%,Hard,8.13551,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,46.9656,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",35.2%,Medium,5.54977,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,3.42664,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",31.8%,Medium,6.46845,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,67.3%,Medium,23.6566,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,50.0%,Medium,4.10359,https://leetcode.com/problems/permutations-ii
48,Rotate Image,Array,61.1%,Medium,25.9213,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,45.3882,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,0.734624,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,50.4%,Hard,6.48494,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,49.6959,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,33.0216,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",35.3%,Medium,2.30739,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",41.5%,Medium,41.1898,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,3.51266,https://leetcode.com/problems/insert-interval
59,Spiral Matrix II,Array,58.3%,Medium,5.21309,https://leetcode.com/problems/spiral-matrix-ii
60,Permutation Sequence,"Math, Backtracking",39.7%,Hard,2.09407,https://leetcode.com/problems/permutation-sequence
61,Rotate List,"Linked List, Two Pointers",32.0%,Medium,1.39991,https://leetcode.com/problems/rotate-list
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,2.98641,https://leetcode.com/problems/unique-paths
