Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,57.4136,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,9.7429,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,3.69787,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,7.86343,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,0.661475,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,26.0%,Easy,4.44533,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,2.82193,https://leetcode.com/problems/string-to-integer-atoi
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,0.902491,https://leetcode.com/problems/container-with-most-water
13,Roman to Integer,"Math, String",57.1%,Easy,3.62858,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,7.88723,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,6.16636,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,7.96724,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,2.4181,https://leetcode.com/problems/letter-combinations-of-a-phone-number
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,2.31905,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,27.3729,https://leetcode.com/problems/valid-parentheses
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,3.24943,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,31.5682,https://leetcode.com/problems/merge-k-sorted-lists
25,Reverse Nodes in k-Group,Linked List,45.6%,Hard,12.0716,https://leetcode.com/problems/reverse-nodes-in-k-group
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,4.94313,https://leetcode.com/problems/implement-strstr
31,Next Permutation,Array,33.9%,Medium,3.74052,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,0.750648,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,5.99069,https://leetcode.com/problems/search-in-rotated-sorted-array
35,Search Insert Position,"Array, Binary Search",42.9%,Easy,1.21055,https://leetcode.com/problems/search-insert-position
36,Valid Sudoku,Hash Table,51.0%,Medium,5.13805,https://leetcode.com/problems/valid-sudoku
38,Count and Say,String,46.3%,Medium,3.01028,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",59.9%,Medium,3.68035,https://leetcode.com/problems/combination-sum
41,First Missing Positive,Array,34.1%,Hard,4.26516,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,9.61274,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",35.2%,Medium,2.87404,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,8.82026,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",31.8%,Medium,2.47441,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,67.3%,Medium,5.37808,https://leetcode.com/problems/permutations
48,Rotate Image,Array,61.1%,Medium,23.3695,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,23.1933,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,12.2589,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,27.8101,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",35.3%,Medium,1.69343,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",41.5%,Medium,70.6691,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,5.80984,https://leetcode.com/problems/insert-interval
61,Rotate List,"Linked List, Two Pointers",32.0%,Medium,2.83635,https://leetcode.com/problems/rotate-list
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,2.1868,https://leetcode.com/problems/minimum-path-sum
68,Text Justification,String,30.4%,Hard,5.7002,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,3.01541,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,3.51383,https://leetcode.com/problems/climbing-stairs
72,Edit Distance,"String, Dynamic Programming",47.2%,Hard,3.36088,https://leetcode.com/problems/edit-distance
73,Set Matrix Zeroes,Array,44.7%,Medium,2.25165,https://leetcode.com/problems/set-matrix-zeroes
74,Search a 2D Matrix,"Array, Binary Search",38.3%,Medium,9.43865,https://leetcode.com/problems/search-a-2d-matrix
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,1.5831,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,7.39233,https://leetcode.com/problems/minimum-window-substring
77,Combinations,Backtracking,58.2%,Medium,3.79715,https://leetcode.com/problems/combinations
79,Word Search,"Array, Backtracking",37.3%,Medium,6.51796,https://leetcode.com/problems/word-search
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,11.9415,https://leetcode.com/problems/maximal-rectangle
86,Partition List,"Linked List, Two Pointers",44.9%,Medium,1.09186,https://leetcode.com/problems/partition-list
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,0.899924,https://leetcode.com/problems/merge-sorted-array
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,1.76919,https://leetcode.com/problems/decode-ways
97,Interleaving String,"String, Dynamic Programming",32.8%,Medium,23.0288,https://leetcode.com/problems/interleaving-string
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,1.89646,https://leetcode.com/problems/validate-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,1.07004,https://leetcode.com/problems/symmetric-tree
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,15.7758,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
107,Binary Tree Level Order Traversal II,"Tree, Breadth-first Search",55.6%,Medium,4.83265,https://leetcode.com/problems/binary-tree-level-order-traversal-ii
108,Convert Sorted Array to Binary Search Tree,"Tree, Depth-first Search",61.1%,Easy,4.15048,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
