Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.122064,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,0.250966,https://leetcode.com/problems/longest-substring-without-repeating-characters
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.350798,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,0.397253,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,1.97715,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,0.79621,https://leetcode.com/problems/merge-k-sorted-lists
25,Reverse Nodes in k-Group,Linked List,45.6%,Hard,7.34513,https://leetcode.com/problems/reverse-nodes-in-k-group
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,1.02654,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,0.586664,https://leetcode.com/problems/search-in-rotated-sorted-array
39,Combination Sum,"Array, Backtracking",59.9%,Medium,0.997651,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,1.84072,https://leetcode.com/problems/combination-sum-ii
43,Multiply Strings,"Math, String",35.2%,Medium,1.74875,https://leetcode.com/problems/multiply-strings
46,Permutations,Backtracking,67.3%,Medium,5.09511,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.715186,https://leetcode.com/problems/group-anagrams
51,N-Queens,Backtracking,50.4%,Hard,11.6062,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,3.34162,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,2.44719,https://leetcode.com/problems/spiral-matrix
60,Permutation Sequence,"Math, Backtracking",39.7%,Hard,5.78461,https://leetcode.com/problems/permutation-sequence
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,2.08708,https://leetcode.com/problems/unique-paths
66,Plus One,Array,42.2%,Easy,7.68,https://leetcode.com/problems/plus-one
67,Add Binary,"Math, String",47.4%,Easy,1.07928,https://leetcode.com/problems/add-binary
68,Text Justification,String,30.4%,Hard,3.46836,https://leetcode.com/problems/text-justification
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,1.13181,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",65.8%,Medium,0.932411,https://leetcode.com/problems/subsets
90,Subsets II,"Array, Backtracking",49.3%,Medium,2.20084,https://leetcode.com/problems/subsets-ii
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,2.41585,https://leetcode.com/problems/decode-ways
92,Reverse Linked List II,Linked List,40.9%,Medium,1.82906,https://leetcode.com/problems/reverse-linked-list-ii
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,0.513487,https://leetcode.com/problems/validate-binary-search-tree
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,2.43319,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,2.74184,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
112,Path Sum,"Tree, Depth-first Search",42.7%,Easy,1.02359,https://leetcode.com/problems/path-sum
114,Flatten Binary Tree to Linked List,"Tree, Depth-first Search",52.6%,Medium,1.84792,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,1.36384,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
124,Binary Tree Maximum Path Sum,"Tree, Depth-first Search, Recursion",35.7%,Hard,1.00044,https://leetcode.com/problems/binary-tree-maximum-path-sum
139,Word Break,Dynamic Programming,42.0%,Medium,3.40306,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",35.6%,Hard,33.228,https://leetcode.com/problems/word-break-ii
146,LRU Cache,Design,36.4%,Medium,15.2583,https://leetcode.com/problems/lru-cache
148,Sort List,"Linked List, Sort",46.8%,Medium,5.18705,https://leetcode.com/problems/sort-list
160,Intersection of Two Linked Lists,Linked List,44.7%,Easy,3.50756,https://leetcode.com/problems/intersection-of-two-linked-lists
165,Compare Version Numbers,String,30.7%,Medium,10.4098,https://leetcode.com/problems/compare-version-numbers
173,Binary Search Tree Iterator,"Stack, Tree, Design",60.8%,Medium,22.7892,https://leetcode.com/problems/binary-search-tree-iterator
198,House Robber,Dynamic Programming,43.2%,Medium,3.76074,https://leetcode.com/problems/house-robber
199,Binary Tree Right Side View,"Tree, Depth-first Search, Breadth-first Search, Recursion, Queue",56.7%,Medium,9.0187,https://leetcode.com/problems/binary-tree-right-side-view
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,2.04306,https://leetcode.com/problems/number-of-islands
202,Happy Number,"Hash Table, Math",51.4%,Easy,5.78622,https://leetcode.com/problems/happy-number
206,Reverse Linked List,Linked List,65.9%,Easy,0.37191,https://leetcode.com/problems/reverse-linked-list
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",44.3%,Medium,5.95168,https://leetcode.com/problems/course-schedule
209,Minimum Size Subarray Sum,"Array, Two Pointers, Binary Search",39.9%,Medium,1.67222,https://leetcode.com/problems/minimum-size-subarray-sum
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,2.94528,https://leetcode.com/problems/kth-largest-element-in-an-array
224,Basic Calculator,"Math, Stack",38.3%,Hard,10.7313,https://leetcode.com/problems/basic-calculator
