Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,3.18685,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,4.48887,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,10.5555,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,5.78378,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,0.332362,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,26.0%,Easy,0.110919,https://leetcode.com/problems/reverse-integer
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,4.00426,https://leetcode.com/problems/container-with-most-water
15,3Sum,"Array, Two Pointers",28.3%,Medium,1.37836,https://leetcode.com/problems/3sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,0.808731,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,1.15363,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,3.58315,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,6.34633,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,17.1181,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,0.94417,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,45.6%,Hard,55.591,https://leetcode.com/problems/reverse-nodes-in-k-group
31,Next Permutation,Array,33.9%,Medium,28.8508,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,1.04389,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,32.9302,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,3.6104,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",59.9%,Medium,0.822666,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,0.676222,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,34.1%,Hard,6.58146,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,43.0061,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",35.2%,Medium,0.642434,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,5.37914,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,67.3%,Medium,10.3105,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.590144,https://leetcode.com/problems/group-anagrams
51,N-Queens,Backtracking,50.4%,Hard,37.5839,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,9.43643,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,17.8859,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",35.3%,Medium,1.5052,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",41.5%,Medium,5.3376,https://leetcode.com/problems/merge-intervals
60,Permutation Sequence,"Math, Backtracking",39.7%,Hard,2.12508,https://leetcode.com/problems/permutation-sequence
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,3.03063,https://leetcode.com/problems/unique-paths
66,Plus One,Array,42.2%,Easy,4.61991,https://leetcode.com/problems/plus-one
67,Add Binary,"Math, String",47.4%,Easy,0.396492,https://leetcode.com/problems/add-binary
68,Text Justification,String,30.4%,Hard,7.69802,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,3.61347,https://leetcode.com/problems/sqrtx
72,Edit Distance,"String, Dynamic Programming",47.2%,Hard,6.55751,https://leetcode.com/problems/edit-distance
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,4.97275,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",65.8%,Medium,13.4975,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",37.3%,Medium,18.6905,https://leetcode.com/problems/word-search
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,7.83466,https://leetcode.com/problems/largest-rectangle-in-histogram
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,0.802108,https://leetcode.com/problems/merge-sorted-array
90,Subsets II,"Array, Backtracking",49.3%,Medium,1.80963,https://leetcode.com/problems/subsets-ii
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,2.4452,https://leetcode.com/problems/decode-ways
92,Reverse Linked List II,Linked List,40.9%,Medium,4.12406,https://leetcode.com/problems/reverse-linked-list-ii
93,Restore IP Addresses,"String, Backtracking",38.0%,Medium,19.9269,https://leetcode.com/problems/restore-ip-addresses
96,Unique Binary Search Trees,"Dynamic Programming, Tree",54.8%,Medium,14.67,https://leetcode.com/problems/unique-binary-search-trees
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,2.28553,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,"Tree, Depth-first Search",42.9%,Hard,1.66902,https://leetcode.com/problems/recover-binary-search-tree
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,13.3854,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,10.636,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
110,Balanced Binary Tree,"Tree, Depth-first Search, Recursion",44.9%,Easy,1.12225,https://leetcode.com/problems/balanced-binary-tree
112,Path Sum,"Tree, Depth-first Search",42.7%,Easy,0.844001,https://leetcode.com/problems/path-sum
113,Path Sum II,"Tree, Depth-first Search",49.7%,Medium,4.51073,https://leetcode.com/problems/path-sum-ii
114,Flatten Binary Tree to Linked List,"Tree, Depth-first Search",52.6%,Medium,2.68698,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,5.16386,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
124,Binary Tree Maximum Path Sum,"Tree, Depth-first Search, Recursion",35.7%,Hard,5.71712,https://leetcode.com/problems/binary-tree-maximum-path-sum
138,Copy List with Random Pointer,"Hash Table, Linked List",41.7%,Medium,2.77955,https://leetcode.com/problems/copy-list-with-random-pointer
139,Word Break,Dynamic Programming,42.0%,Medium,10.7026,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",35.6%,Hard,18.4442,https://leetcode.com/problems/word-break-ii
143,Reorder List,Linked List,41.3%,Medium,15.4621,https://leetcode.com/problems/reorder-list
146,LRU Cache,Design,36.4%,Medium,67.2206,https://leetcode.com/problems/lru-cache
148,Sort List,"Linked List, Sort",46.8%,Medium,22.8973,https://leetcode.com/problems/sort-list
151,Reverse Words in a String,String,24.3%,Medium,1.17489,https://leetcode.com/problems/reverse-words-in-a-string
152,Maximum Product Subarray,"Array, Dynamic Programming",32.9%,Medium,3.45579,https://leetcode.com/problems/maximum-product-subarray
153,Find Minimum in Rotated Sorted Array,"Array, Binary Search",46.5%,Medium,0.4226,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
160,Intersection of Two Linked Lists,Linked List,44.7%,Easy,14.6998,https://leetcode.com/problems/intersection-of-two-linked-lists
162,Find Peak Element,"Array, Binary Search",44.1%,Medium,4.09005,https://leetcode.com/problems/find-peak-element
165,Compare Version Numbers,String,30.7%,Medium,10.2661,https://leetcode.com/problems/compare-version-numbers
166,Fraction to Recurring Decimal,"Hash Table, Math",22.5%,Medium,1.82104,https://leetcode.com/problems/fraction-to-recurring-decimal
167,Two Sum II - Input array is sorted,"Array, Two Pointers, Binary Search",55.8%,Easy,1.39025,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",60.3%,Easy,0.70518,https://leetcode.com/problems/majority-element
173,Binary Search Tree Iterator,"Stack, Tree, Design",60.8%,Medium,16.37,https://leetcode.com/problems/binary-search-tree-iterator
179,Largest Number,Sort,30.9%,Medium,13.3221,https://leetcode.com/problems/largest-number
198,House Robber,Dynamic Programming,43.2%,Medium,3.0809,https://leetcode.com/problems/house-robber
199,Binary Tree Right Side View,"Tree, Depth-first Search, Breadth-first Search, Recursion, Queue",56.7%,Medium,23.8273,https://leetcode.com/problems/binary-tree-right-side-view
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,4.59697,https://leetcode.com/problems/number-of-islands
202,Happy Number,"Hash Table, Math",51.4%,Easy,2.12567,https://leetcode.com/problems/happy-number
206,Reverse Linked List,Linked List,65.9%,Easy,8.37234,https://leetcode.com/problems/reverse-linked-list
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",44.3%,Medium,40.8338,https://leetcode.com/problems/course-schedule
209,Minimum Size Subarray Sum,"Array, Two Pointers, Binary Search",39.9%,Medium,5.39157,https://leetcode.com/problems/minimum-size-subarray-sum
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,1.81348,https://leetcode.com/problems/course-schedule-ii
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,23.9359,https://leetcode.com/problems/kth-largest-element-in-an-array
221,Maximal Square,Dynamic Programming,39.7%,Medium,7.861,https://leetcode.com/problems/maximal-square
222,Count Complete Tree Nodes,"Binary Search, Tree",49.9%,Medium,4.46703,https://leetcode.com/problems/count-complete-tree-nodes
