Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.0489682,https://leetcode.com/problems/two-sum
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.378337,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",40.0%,Easy,2.81338,https://leetcode.com/problems/valid-parentheses
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,0.30296,https://leetcode.com/problems/implement-strstr
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,1.63759,https://leetcode.com/problems/longest-valid-parentheses
39,Combination Sum,"Array, Backtracking",59.9%,Medium,0.400225,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,1.63505,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,2.15298,https://leetcode.com/problems/wildcard-matching
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.644439,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,0.336756,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,0.437468,https://leetcode.com/problems/spiral-matrix
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,0.215089,https://leetcode.com/problems/climbing-stairs
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,2.91487,https://leetcode.com/problems/maximal-rectangle
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,0.205994,https://leetcode.com/problems/validate-binary-search-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,3.02717,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,0.853632,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
123,Best Time to Buy and Sell Stock III,"Array, Dynamic Programming",40.3%,Hard,1.03013,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
127,Word Ladder,Breadth-first Search,32.3%,Hard,1.28721,https://leetcode.com/problems/word-ladder
138,Copy List with Random Pointer,"Hash Table, Linked List",41.7%,Medium,0.491623,https://leetcode.com/problems/copy-list-with-random-pointer
146,LRU Cache,Design,36.4%,Medium,2.76496,https://leetcode.com/problems/lru-cache
151,Reverse Words in a String,String,24.3%,Medium,0.572166,https://leetcode.com/problems/reverse-words-in-a-string
188,Best Time to Buy and Sell Stock IV,Dynamic Programming,30.2%,Hard,1.65412,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,4.08454,https://leetcode.com/problems/number-of-islands
204,Count Primes,"Hash Table, Math",32.4%,Easy,0.538892,https://leetcode.com/problems/count-primes
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,0.68181,https://leetcode.com/problems/implement-trie-prefix-tree
212,Word Search II,"Backtracking, Trie",37.6%,Hard,0.792165,https://leetcode.com/problems/word-search-ii
221,Maximal Square,Dynamic Programming,39.7%,Medium,4.46796,https://leetcode.com/problems/maximal-square
225,Implement Stack using Queues,"Stack, Design",48.0%,Easy,1.38079,https://leetcode.com/problems/implement-stack-using-queues
232,Implement Queue using Stacks,"Stack, Design",52.9%,Easy,0.923989,https://leetcode.com/problems/implement-queue-using-stacks
238,Product of Array Except Self,Array,61.4%,Medium,0.250899,https://leetcode.com/problems/product-of-array-except-self
