Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
300,Longest Increasing Subsequence,"Binary Search, Dynamic Programming",44.7%,Medium,0.458448,https://leetcode.com/problems/longest-increasing-subsequence
312,Burst Balloons,"Divide and Conquer, Dynamic Programming",54.0%,Hard,100.0,https://leetcode.com/problems/burst-balloons
402,Remove K Digits,"Stack, Greedy",28.7%,Medium,38.7306,https://leetcode.com/problems/remove-k-digits
844,Backspace String Compare,"Two Pointers, Stack",47.2%,Easy,6.62964,https://leetcode.com/problems/backspace-string-compare
847,Shortest Path Visiting All Nodes,"Dynamic Programming, Breadth-first Search",54.3%,Hard,8.7473,https://leetcode.com/problems/shortest-path-visiting-all-nodes
996,Number of Squareful Arrays,"Math, Backtracking, Graph",48.6%,Hard,14.9642,https://leetcode.com/problems/number-of-squareful-arrays
1223,Dice Roll Simulation,Dynamic Programming,46.7%,Hard,19.2447,https://leetcode.com/problems/dice-roll-simulation
1310,XOR Queries of a Subarray,Bit Manipulation,69.5%,Medium,15.518,https://leetcode.com/problems/xor-queries-of-a-subarray
1330,Reverse Subarray To Maximize Array Value,"Array, Math",36.9%,Hard,53.6565,https://leetcode.com/problems/reverse-subarray-to-maximize-array-value
1617,Count Subtrees With Max Distance Between Cities,Backtracking,63.3%,Hard,0.0,https://leetcode.com/problems/count-subtrees-with-max-distance-between-cities
1682,Longest Palindromic Subsequence II,"String, Dynamic Programming",51.3%,Medium,0.0,https://leetcode.com/problems/longest-palindromic-subsequence-ii
1739,Building Boxes,"Math, Binary Search",49.5%,Hard,76.8282,https://leetcode.com/problems/building-boxes
