Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,17.9261,https://leetcode.com/problems/add-two-numbers
41,First Missing Positive,Array,34.1%,Hard,31.1595,https://leetcode.com/problems/first-missing-positive
49,Group Anagrams,"Hash Table, String",59.9%,Medium,19.2673,https://leetcode.com/problems/group-anagrams
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,9.20365,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
133,Clone Graph,"Depth-first Search, Breadth-first Search, Graph",40.1%,Medium,37.2035,https://leetcode.com/problems/clone-graph
146,LRU Cache,Design,36.4%,Medium,20.876,https://leetcode.com/problems/lru-cache
412,Fizz Buzz,,63.8%,Easy,33.3529,https://leetcode.com/problems/fizz-buzz
442,Find All Duplicates in an Array,Array,69.2%,Medium,68.6018,https://leetcode.com/problems/find-all-duplicates-in-an-array
647,Palindromic Substrings,"String, Dynamic Programming",62.8%,Medium,17.3792,https://leetcode.com/problems/palindromic-substrings
1326,Minimum Number of Taps to Open to Water a Garden,"Dynamic Programming, Greedy",47.5%,Hard,100.0,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden
