Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,0.530826,https://leetcode.com/problems/median-of-two-sorted-arrays
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,0.543838,https://leetcode.com/problems/container-with-most-water
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.78103,https://leetcode.com/problems/valid-parentheses
31,Next Permutation,Array,33.9%,Medium,1.00423,https://leetcode.com/problems/next-permutation
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.808476,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,5.79261,https://leetcode.com/problems/trapping-rain-water
45,Jump Game II,"Array, Greedy",31.8%,Medium,1.49107,https://leetcode.com/problems/jump-game-ii
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,4.01155,https://leetcode.com/problems/largest-rectangle-in-histogram
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,1.07378,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
120,Triangle,"Array, Dynamic Programming",46.9%,Medium,0.654023,https://leetcode.com/problems/triangle
135,Candy,Greedy,33.4%,Hard,5.56471,https://leetcode.com/problems/candy
155,Min Stack,"Stack, Design",46.9%,Easy,0.952561,https://leetcode.com/problems/min-stack
241,Different Ways to Add Parentheses,Divide and Conquer,57.7%,Medium,8.3633,https://leetcode.com/problems/different-ways-to-add-parentheses
269,Alien Dictionary,"Graph, Topological Sort",33.8%,Hard,2.65593,https://leetcode.com/problems/alien-dictionary
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,1.62218,https://leetcode.com/problems/insert-delete-getrandom-o1
431,Encode N-ary Tree to Binary Tree,Tree,75.0%,Hard,56.4787,https://leetcode.com/problems/encode-n-ary-tree-to-binary-tree
452,Minimum Number of Arrows to Burst Balloons,"Greedy, Sort",49.8%,Medium,6.23928,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons
480,Sliding Window Median,Sliding Window,39.0%,Hard,6.48291,https://leetcode.com/problems/sliding-window-median
675,Cut Off Trees for Golf Event,Breadth-first Search,35.5%,Hard,11.7804,https://leetcode.com/problems/cut-off-trees-for-golf-event
741,Cherry Pickup,Dynamic Programming,35.2%,Hard,65.6733,https://leetcode.com/problems/cherry-pickup
871,Minimum Number of Refueling Stops,"Dynamic Programming, Heap",32.5%,Hard,100.0,https://leetcode.com/problems/minimum-number-of-refueling-stops
968,Binary Tree Cameras,"Dynamic Programming, Tree, Depth-first Search",39.0%,Hard,9.28352,https://leetcode.com/problems/binary-tree-cameras
977,Squares of a Sorted Array,"Array, Two Pointers",71.8%,Easy,0.663294,https://leetcode.com/problems/squares-of-a-sorted-array
994,Rotting Oranges,Breadth-first Search,49.7%,Medium,5.54009,https://leetcode.com/problems/rotting-oranges
1000,Minimum Cost to Merge Stones,Dynamic Programming,40.6%,Hard,22.152,https://leetcode.com/problems/minimum-cost-to-merge-stones
1011,Capacity To Ship Packages Within D Days,"Array, Binary Search",60.0%,Medium,11.9909,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days
1574,Shortest Subarray to be Removed to Make Array Sorted,"Array, Binary Search",34.1%,Medium,18.8971,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted
