Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,3.47537,https://leetcode.com/problems/two-sum
20,Valid Parentheses,"String, Stack",40.0%,Easy,4.44033,https://leetcode.com/problems/valid-parentheses
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,14.3262,https://leetcode.com/problems/minimum-window-substring
139,Word Break,Dynamic Programming,42.0%,Medium,10.8218,https://leetcode.com/problems/word-break
146,LRU Cache,Design,36.4%,Medium,9.80853,https://leetcode.com/problems/lru-cache
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",60.3%,Easy,10.8209,https://leetcode.com/problems/majority-element
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,14.1429,https://leetcode.com/problems/meeting-rooms-ii
290,Word Pattern,Hash Table,38.5%,Easy,45.8445,https://leetcode.com/problems/word-pattern
724,Find Pivot Index,Array,46.3%,Easy,68.4817,https://leetcode.com/problems/find-pivot-index
1236,Web Crawler,"Depth-first Search, Breadth-first Search",64.8%,Medium,100.0,https://leetcode.com/problems/web-crawler
