Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.207661,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,0.701149,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,13.8064,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,1.65804,https://leetcode.com/problems/longest-palindromic-substring
8,String to Integer (atoi),"Math, String",15.8%,Medium,2.09695,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,2.29506,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,0.68242,https://leetcode.com/problems/container-with-most-water
13,Roman to Integer,"Math, String",57.1%,Easy,0.17325,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.131319,https://leetcode.com/problems/3sum
18,4Sum,"Array, Hash Table, Two Pointers",35.2%,Medium,0.261542,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,0.0492202,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.194991,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,0.441445,https://leetcode.com/problems/merge-k-sorted-lists
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,0.105156,https://leetcode.com/problems/implement-strstr
31,Next Permutation,Array,33.9%,Medium,0.141193,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,0.183542,https://leetcode.com/problems/search-in-rotated-sorted-array
36,Valid Sudoku,Hash Table,51.0%,Medium,0.194122,https://leetcode.com/problems/valid-sudoku
41,First Missing Positive,Array,34.1%,Hard,0.161052,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,62.8487,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,6.22754,https://leetcode.com/problems/wildcard-matching
49,Group Anagrams,"Hash Table, String",59.9%,Medium,14.7262,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,0.500828,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,0.207538,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,0.340756,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,0.613827,https://leetcode.com/problems/merge-intervals
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,0.129449,https://leetcode.com/problems/unique-paths
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,3.57852,https://leetcode.com/problems/minimum-path-sum
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,0.113769,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,0.297707,https://leetcode.com/problems/climbing-stairs
73,Set Matrix Zeroes,Array,44.7%,Medium,0.19077,https://leetcode.com/problems/set-matrix-zeroes
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,0.134128,https://leetcode.com/problems/sort-colors
