Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,77.9428,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,22.6062,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,8.95735,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,12.3599,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,8.46251,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,38.4%,Medium,0.207696,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,26.0%,Easy,2.304,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,2.10786,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,50.2%,Easy,2.63425,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,13.0853,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,4.08927,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",57.2%,Medium,1.82205,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,0.691661,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,2.61551,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,10.0076,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,5.6942,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,6.25763,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",35.2%,Medium,1.0404,https://leetcode.com/problems/4sum
