Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,11.6324,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,4.3727,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,0.654852,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,2.00259,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,0.672275,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,26.0%,Easy,1.53803,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,1.27436,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,50.2%,Easy,0.193189,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,0.579851,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,2.05127,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",57.2%,Medium,0.619041,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,0.520769,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,0.225024,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.394729,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,1.14598,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.154283,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.91443,https://leetcode.com/problems/valid-parentheses
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,1.46685,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,2.96314,https://leetcode.com/problems/merge-k-sorted-lists
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,0.325862,https://leetcode.com/problems/remove-duplicates-from-sorted-array
31,Next Permutation,Array,33.9%,Medium,2.62579,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,0.245548,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,2.1181,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",59.9%,Medium,0.417566,https://leetcode.com/problems/combination-sum
41,First Missing Positive,Array,34.1%,Hard,1.08621,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,1.70589,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,2.24627,https://leetcode.com/problems/wildcard-matching
48,Rotate Image,Array,61.1%,Medium,0.381666,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.29934,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,0.849365,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,0.973176,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,1.81431,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,8.40247,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,21.5518,https://leetcode.com/problems/insert-interval
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,0.873544,https://leetcode.com/problems/unique-paths
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,2.21075,https://leetcode.com/problems/minimum-path-sum
66,Plus One,Array,42.2%,Easy,0.597577,https://leetcode.com/problems/plus-one
68,Text Justification,String,30.4%,Hard,8.77049,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,0.341976,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,0.224409,https://leetcode.com/problems/climbing-stairs
71,Simplify Path,"String, Stack",35.0%,Medium,1.28414,https://leetcode.com/problems/simplify-path
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,1.88261,https://leetcode.com/problems/minimum-window-substring
79,Word Search,"Array, Backtracking",37.3%,Medium,0.417365,https://leetcode.com/problems/word-search
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,19.9786,https://leetcode.com/problems/maximal-rectangle
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,3.98939,https://leetcode.com/problems/decode-ways
94,Binary Tree Inorder Traversal,"Hash Table, Stack, Tree",66.4%,Medium,0.601136,https://leetcode.com/problems/binary-tree-inorder-traversal
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,0.214919,https://leetcode.com/problems/validate-binary-search-tree
100,Same Tree,"Tree, Depth-first Search",54.3%,Easy,1.4541,https://leetcode.com/problems/same-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,0.272509,https://leetcode.com/problems/symmetric-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",57.1%,Medium,0.275373,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,0.453804,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
106,Construct Binary Tree from Inorder and Postorder Traversal,"Array, Tree, Depth-first Search",50.3%,Medium,1.11498,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
108,Convert Sorted Array to Binary Search Tree,"Tree, Depth-first Search",61.1%,Easy,1.05701,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
115,Distinct Subsequences,"String, Dynamic Programming",40.1%,Hard,9.32679,https://leetcode.com/problems/distinct-subsequences
116,Populating Next Right Pointers in Each Node,"Tree, Depth-first Search, Breadth-first Search",49.8%,Medium,0.618074,https://leetcode.com/problems/populating-next-right-pointers-in-each-node
118,Pascal's Triangle,Array,55.7%,Easy,1.21241,https://leetcode.com/problems/pascals-triangle
120,Triangle,"Array, Dynamic Programming",46.9%,Medium,0.276405,https://leetcode.com/problems/triangle
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,4.24439,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
123,Best Time to Buy and Sell Stock III,"Array, Dynamic Programming",40.3%,Hard,1.07476,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
124,Binary Tree Maximum Path Sum,"Tree, Depth-first Search, Recursion",35.7%,Hard,3.71178,https://leetcode.com/problems/binary-tree-maximum-path-sum
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",23.9%,Hard,1.37288,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,32.3%,Hard,2.37618,https://leetcode.com/problems/word-ladder
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,14.2507,https://leetcode.com/problems/longest-consecutive-sequence
130,Surrounded Regions,"Depth-first Search, Breadth-first Search, Union Find",29.9%,Medium,15.0162,https://leetcode.com/problems/surrounded-regions
131,Palindrome Partitioning,"Dynamic Programming, Backtracking, Depth-first Search",52.8%,Medium,1.04759,https://leetcode.com/problems/palindrome-partitioning
134,Gas Station,Greedy,41.7%,Medium,1.23598,https://leetcode.com/problems/gas-station
136,Single Number,"Hash Table, Bit Manipulation",66.8%,Easy,1.58018,https://leetcode.com/problems/single-number
137,Single Number II,Bit Manipulation,54.2%,Medium,1.53843,https://leetcode.com/problems/single-number-ii
139,Word Break,Dynamic Programming,42.0%,Medium,0.35784,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",35.6%,Hard,2.06653,https://leetcode.com/problems/word-break-ii
141,Linked List Cycle,"Linked List, Two Pointers",43.2%,Easy,0.254437,https://leetcode.com/problems/linked-list-cycle
146,LRU Cache,Design,36.4%,Medium,5.07674,https://leetcode.com/problems/lru-cache
149,Max Points on a Line,"Hash Table, Math",17.8%,Hard,19.647,https://leetcode.com/problems/max-points-on-a-line
150,Evaluate Reverse Polish Notation,Stack,38.4%,Medium,4.58147,https://leetcode.com/problems/evaluate-reverse-polish-notation
152,Maximum Product Subarray,"Array, Dynamic Programming",32.9%,Medium,2.74924,https://leetcode.com/problems/maximum-product-subarray
154,Find Minimum in Rotated Sorted Array II,"Array, Binary Search",42.2%,Hard,1.39668,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii
162,Find Peak Element,"Array, Binary Search",44.1%,Medium,4.65986,https://leetcode.com/problems/find-peak-element
163,Missing Ranges,Array,27.6%,Easy,4.03711,https://leetcode.com/problems/missing-ranges
165,Compare Version Numbers,String,30.7%,Medium,1.95802,https://leetcode.com/problems/compare-version-numbers
173,Binary Search Tree Iterator,"Stack, Tree, Design",60.8%,Medium,0.810777,https://leetcode.com/problems/binary-search-tree-iterator
176,Second Highest Salary,,33.6%,Easy,0.440926,https://leetcode.com/problems/second-highest-salary
177,Nth Highest Salary,,33.7%,Medium,0.901873,https://leetcode.com/problems/nth-highest-salary
187,Repeated DNA Sequences,"Hash Table, Bit Manipulation",41.7%,Medium,2.66595,https://leetcode.com/problems/repeated-dna-sequences
188,Best Time to Buy and Sell Stock IV,Dynamic Programming,30.2%,Hard,1.72578,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,5.23741,https://leetcode.com/problems/number-of-islands
203,Remove Linked List Elements,Linked List,39.6%,Easy,1.1666,https://leetcode.com/problems/remove-linked-list-elements
206,Reverse Linked List,Linked List,65.9%,Easy,0.621318,https://leetcode.com/problems/reverse-linked-list
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",44.3%,Medium,0.903371,https://leetcode.com/problems/course-schedule
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,1.59405,https://leetcode.com/problems/implement-trie-prefix-tree
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,2.06612,https://leetcode.com/problems/course-schedule-ii
211,Design Add and Search Words Data Structure,"Backtracking, Depth-first Search, Design, Trie",40.7%,Medium,3.65478,https://leetcode.com/problems/design-add-and-search-words-data-structure
212,Word Search II,"Backtracking, Trie",37.6%,Hard,3.26893,https://leetcode.com/problems/word-search-ii
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,1.23274,https://leetcode.com/problems/kth-largest-element-in-an-array
218,The Skyline Problem,"Divide and Conquer, Heap, Binary Indexed Tree, Segment Tree, Line Sweep",36.7%,Hard,4.16776,https://leetcode.com/problems/the-skyline-problem
