Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,91.5681,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,59.2133,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,46.979,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,53.2494,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,40.2981,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,38.4%,Medium,6.68289,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,26.0%,Easy,20.3975,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,23.137,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,50.2%,Easy,11.2563,https://leetcode.com/problems/palindrome-number
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,52.47,https://leetcode.com/problems/regular-expression-matching
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,33.4099,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",57.2%,Medium,15.1422,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,13.6511,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,20.6991,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,46.3924,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,10.8638,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,33.1839,https://leetcode.com/problems/letter-combinations-of-a-phone-number
18,4Sum,"Array, Hash Table, Two Pointers",35.2%,Medium,13.2888,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,4.41383,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,37.7327,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,23.5442,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,33.0078,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,51.381,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,6.95833,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,45.6%,Hard,16.1174,https://leetcode.com/problems/reverse-nodes-in-k-group
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,7.80331,https://leetcode.com/problems/remove-duplicates-from-sorted-array
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,5.29093,https://leetcode.com/problems/implement-strstr
29,Divide Two Integers,"Math, Binary Search",16.9%,Medium,11.5977,https://leetcode.com/problems/divide-two-integers
30,Substring with Concatenation of All Words,"Hash Table, Two Pointers, String",26.4%,Hard,13.2469,https://leetcode.com/problems/substring-with-concatenation-of-all-words
31,Next Permutation,Array,33.9%,Medium,42.3198,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,7.20863,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,32.0182,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,37.3254,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
35,Search Insert Position,"Array, Binary Search",42.9%,Easy,3.62926,https://leetcode.com/problems/search-insert-position
36,Valid Sudoku,Hash Table,51.0%,Medium,25.8311,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,28.8433,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,46.3%,Medium,38.412,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",59.9%,Medium,9.31631,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,2.86865,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,34.1%,Hard,33.9821,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,65.7304,https://leetcode.com/problems/trapping-rain-water
43,Multiply Strings,"Math, String",35.2%,Medium,35.3096,https://leetcode.com/problems/multiply-strings
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,34.2022,https://leetcode.com/problems/wildcard-matching
45,Jump Game II,"Array, Greedy",31.8%,Medium,13.3331,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,67.3%,Medium,20.9885,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,50.0%,Medium,4.62011,https://leetcode.com/problems/permutations-ii
48,Rotate Image,Array,61.1%,Medium,25.4574,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,25.1083,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,36.5892,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,50.4%,Hard,8.7002,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,32.9008,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,43.1706,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",35.3%,Medium,24.8079,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",41.5%,Medium,64.5167,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,46.1316,https://leetcode.com/problems/insert-interval
58,Length of Last Word,String,33.5%,Easy,0.761317,https://leetcode.com/problems/length-of-last-word
59,Spiral Matrix II,Array,58.3%,Medium,10.3206,https://leetcode.com/problems/spiral-matrix-ii
60,Permutation Sequence,"Math, Backtracking",39.7%,Hard,10.4087,https://leetcode.com/problems/permutation-sequence
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,29.9493,https://leetcode.com/problems/unique-paths
63,Unique Paths II,"Array, Dynamic Programming",35.4%,Medium,22.671,https://leetcode.com/problems/unique-paths-ii
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,28.3111,https://leetcode.com/problems/minimum-path-sum
65,Valid Number,"Math, String",16.1%,Hard,18.4334,https://leetcode.com/problems/valid-number
66,Plus One,Array,42.2%,Easy,61.9619,https://leetcode.com/problems/plus-one
67,Add Binary,"Math, String",47.4%,Easy,7.69039,https://leetcode.com/problems/add-binary
68,Text Justification,String,30.4%,Hard,57.422,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,17.6709,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,18.8004,https://leetcode.com/problems/climbing-stairs
71,Simplify Path,"String, Stack",35.0%,Medium,23.6565,https://leetcode.com/problems/simplify-path
72,Edit Distance,"String, Dynamic Programming",47.2%,Hard,41.0745,https://leetcode.com/problems/edit-distance
73,Set Matrix Zeroes,Array,44.7%,Medium,7.44205,https://leetcode.com/problems/set-matrix-zeroes
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,12.2524,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,47.414,https://leetcode.com/problems/minimum-window-substring
77,Combinations,Backtracking,58.2%,Medium,9.5452,https://leetcode.com/problems/combinations
78,Subsets,"Array, Backtracking, Bit Manipulation",65.8%,Medium,13.0184,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",37.3%,Medium,27.1202,https://leetcode.com/problems/word-search
80,Remove Duplicates from Sorted Array II,"Array, Two Pointers",46.5%,Medium,2.48558,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii
81,Search in Rotated Sorted Array II,"Array, Binary Search",33.7%,Medium,9.79718,https://leetcode.com/problems/search-in-rotated-sorted-array-ii
82,Remove Duplicates from Sorted List II,Linked List,39.6%,Medium,5.35552,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
83,Remove Duplicates from Sorted List,Linked List,46.7%,Easy,3.38565,https://leetcode.com/problems/remove-duplicates-from-sorted-list
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,29.4565,https://leetcode.com/problems/largest-rectangle-in-histogram
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,61.3926,https://leetcode.com/problems/maximal-rectangle
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,4.9958,https://leetcode.com/problems/merge-sorted-array
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,34.5048,https://leetcode.com/problems/decode-ways
92,Reverse Linked List II,Linked List,40.9%,Medium,2.85182,https://leetcode.com/problems/reverse-linked-list-ii
93,Restore IP Addresses,"String, Backtracking",38.0%,Medium,5.69544,https://leetcode.com/problems/restore-ip-addresses
94,Binary Tree Inorder Traversal,"Hash Table, Stack, Tree",66.4%,Medium,15.4901,https://leetcode.com/problems/binary-tree-inorder-traversal
95,Unique Binary Search Trees II,"Dynamic Programming, Tree",43.2%,Medium,14.5894,https://leetcode.com/problems/unique-binary-search-trees-ii
96,Unique Binary Search Trees,"Dynamic Programming, Tree",54.8%,Medium,28.0401,https://leetcode.com/problems/unique-binary-search-trees
97,Interleaving String,"String, Dynamic Programming",32.8%,Medium,18.2541,https://leetcode.com/problems/interleaving-string
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,17.1798,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,"Tree, Depth-first Search",42.9%,Hard,16.7009,https://leetcode.com/problems/recover-binary-search-tree
100,Same Tree,"Tree, Depth-first Search",54.3%,Easy,10.8961,https://leetcode.com/problems/same-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,12.6252,https://leetcode.com/problems/symmetric-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",57.1%,Medium,12.2782,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,5.1151,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
104,Maximum Depth of Binary Tree,"Tree, Depth-first Search, Recursion",68.5%,Easy,11.9595,https://leetcode.com/problems/maximum-depth-of-binary-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,17.4307,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
106,Construct Binary Tree from Inorder and Postorder Traversal,"Array, Tree, Depth-first Search",50.3%,Medium,2.67624,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
108,Convert Sorted Array to Binary Search Tree,"Tree, Depth-first Search",61.1%,Easy,18.2063,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
109,Convert Sorted List to Binary Search Tree,"Linked List, Depth-first Search",50.8%,Medium,16.5722,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
110,Balanced Binary Tree,"Tree, Depth-first Search, Recursion",44.9%,Easy,17.437,https://leetcode.com/problems/balanced-binary-tree
111,Minimum Depth of Binary Tree,"Tree, Depth-first Search, Breadth-first Search",39.9%,Easy,1.27934,https://leetcode.com/problems/minimum-depth-of-binary-tree
112,Path Sum,"Tree, Depth-first Search",42.7%,Easy,3.9496,https://leetcode.com/problems/path-sum
113,Path Sum II,"Tree, Depth-first Search",49.7%,Medium,7.05744,https://leetcode.com/problems/path-sum-ii
114,Flatten Binary Tree to Linked List,"Tree, Depth-first Search",52.6%,Medium,5.91863,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
115,Distinct Subsequences,"String, Dynamic Programming",40.1%,Hard,31.5283,https://leetcode.com/problems/distinct-subsequences
116,Populating Next Right Pointers in Each Node,"Tree, Depth-first Search, Breadth-first Search",49.8%,Medium,18.9743,https://leetcode.com/problems/populating-next-right-pointers-in-each-node
