Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,0.285174,https://leetcode.com/problems/add-two-numbers
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,0.632534,https://leetcode.com/problems/trapping-rain-water
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,0.359828,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",41.5%,Medium,0.475557,https://leetcode.com/problems/merge-intervals
146,LRU Cache,Design,36.4%,Medium,0.746696,https://leetcode.com/problems/lru-cache
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,1.60037,https://leetcode.com/problems/kth-largest-element-in-an-array
227,Basic Calculator II,"String, Stack",38.9%,Medium,2.02717,https://leetcode.com/problems/basic-calculator-ii
234,Palindrome Linked List,"Linked List, Two Pointers",42.2%,Easy,0.627493,https://leetcode.com/problems/palindrome-linked-list
322,Coin Change,Dynamic Programming,37.8%,Medium,0.712946,https://leetcode.com/problems/coin-change
445,Add Two Numbers II,Linked List,56.7%,Medium,2.14159,https://leetcode.com/problems/add-two-numbers-ii
527,Word Abbreviation,"String, Sort",56.5%,Hard,62.5353,https://leetcode.com/problems/word-abbreviation
556,Next Greater Element III,String,33.5%,Medium,8.35455,https://leetcode.com/problems/next-greater-element-iii
915,Partition Array into Disjoint Intervals,Array,46.5%,Medium,71.622,https://leetcode.com/problems/partition-array-into-disjoint-intervals
983,Minimum Cost For Tickets,Dynamic Programming,62.8%,Medium,17.9498,https://leetcode.com/problems/minimum-cost-for-tickets
984,String Without AAA or BBB,Greedy,38.8%,Medium,47.7902,https://leetcode.com/problems/string-without-aaa-or-bbb
1017,Convert to Base -2,Math,59.3%,Medium,89.6063,https://leetcode.com/problems/convert-to-base-2
1031,Maximum Sum of Two Non-Overlapping Subarrays,Array,58.8%,Medium,29.8058,https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays
1073,Adding Two Negabinary Numbers,Math,34.8%,Medium,100.0,https://leetcode.com/problems/adding-two-negabinary-numbers
1405,Longest Happy String,"Dynamic Programming, Greedy",52.8%,Medium,54.7266,https://leetcode.com/problems/longest-happy-string
