Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,5.11219,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,4.46436,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,10.4971,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,2.70035,https://leetcode.com/problems/longest-palindromic-substring
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,4.40412,https://leetcode.com/problems/trapping-rain-water
45,Jump Game II,"Array, Greedy",31.8%,Medium,10.1013,https://leetcode.com/problems/jump-game-ii
54,Spiral Matrix,Array,36.7%,Medium,7.31633,https://leetcode.com/problems/spiral-matrix
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,5.48178,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,3.59721,https://leetcode.com/problems/climbing-stairs
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,12.1307,https://leetcode.com/problems/largest-rectangle-in-histogram
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,7.22238,https://leetcode.com/problems/decode-ways
151,Reverse Words in a String,String,24.3%,Medium,9.56906,https://leetcode.com/problems/reverse-words-in-a-string
221,Maximal Square,Dynamic Programming,39.7%,Medium,100.0,https://leetcode.com/problems/maximal-square
355,Design Twitter,"Hash Table, Heap, Design",31.7%,Medium,61.9418,https://leetcode.com/problems/design-twitter
617,Merge Two Binary Trees,Tree,75.6%,Easy,23.8836,https://leetcode.com/problems/merge-two-binary-trees
739,Daily Temperatures,"Hash Table, Stack",64.9%,Medium,12.1202,https://leetcode.com/problems/daily-temperatures
