Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",28.3%,Medium,15.1001,https://leetcode.com/problems/3sum
49,Group Anagrams,"Hash Table, String",59.9%,Medium,11.466,https://leetcode.com/problems/group-anagrams
54,Spiral Matrix,Array,36.7%,Medium,100.0,https://leetcode.com/problems/spiral-matrix
139,Word Break,Dynamic Programming,42.0%,Medium,13.6958,https://leetcode.com/problems/word-break
230,Kth Smallest Element in a BST,"Binary Search, Tree",63.1%,Medium,11.1855,https://leetcode.com/problems/kth-smallest-element-in-a-bst
326,Power of Three,Math,42.1%,Easy,69.6979,https://leetcode.com/problems/power-of-three
371,Sum of Two Integers,Bit Manipulation,50.6%,Medium,11.3095,https://leetcode.com/problems/sum-of-two-integers
394,Decode String,"Stack, Depth-first Search",53.1%,Medium,14.095,https://leetcode.com/problems/decode-string
440,K-th Smallest in Lexicographical Order,,29.9%,Hard,0.0,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order
772,Basic Calculator III,"String, Stack",44.3%,Hard,0.0,https://leetcode.com/problems/basic-calculator-iii
814,Binary Tree Pruning,Tree,71.9%,Medium,0.0,https://leetcode.com/problems/binary-tree-pruning
907,Sum of Subarray Minimums,"Array, Stack",33.1%,Medium,39.3958,https://leetcode.com/problems/sum-of-subarray-minimums
1063,Number of Valid Subarrays,Stack,72.0%,Hard,0.0,https://leetcode.com/problems/number-of-valid-subarrays
