Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,18.3912,https://leetcode.com/problems/two-sum
8,String to Integer (atoi),"Math, String",15.8%,Medium,6.36813,https://leetcode.com/problems/string-to-integer-atoi
12,Integer to Roman,"Math, String",57.2%,Medium,22.6452,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,13.1861,https://leetcode.com/problems/roman-to-integer
20,Valid Parentheses,"String, Stack",40.0%,Easy,18.2196,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,1.88776,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,3.99721,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,23.1281,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,20.0553,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",59.9%,Medium,1.65325,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,2.94536,https://leetcode.com/problems/combination-sum-ii
46,Permutations,Backtracking,67.3%,Medium,16.2408,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,50.0%,Medium,8.2119,https://leetcode.com/problems/permutations-ii
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,38.9465,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,37.9946,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,1.47152,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,22.3693,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,14.1406,https://leetcode.com/problems/insert-interval
61,Rotate List,"Linked List, Two Pointers",32.0%,Medium,3.87157,https://leetcode.com/problems/rotate-list
65,Valid Number,"Math, String",16.1%,Hard,58.8207,https://leetcode.com/problems/valid-number
68,Text Justification,String,30.4%,Hard,49.5047,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,13.6724,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,0.737759,https://leetcode.com/problems/climbing-stairs
72,Edit Distance,"String, Dynamic Programming",47.2%,Hard,30.2417,https://leetcode.com/problems/edit-distance
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,1.59861,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,25.763,https://leetcode.com/problems/minimum-window-substring
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,3.44627,https://leetcode.com/problems/merge-sorted-array
100,Same Tree,"Tree, Depth-first Search",54.3%,Easy,4.33979,https://leetcode.com/problems/same-tree
