Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,1.49127,https://leetcode.com/problems/regular-expression-matching
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.0643687,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.548367,https://leetcode.com/problems/valid-parentheses
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,0.345259,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,0.862076,https://leetcode.com/problems/merge-k-sorted-lists
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,0.114628,https://leetcode.com/problems/trapping-rain-water
48,Rotate Image,Array,61.1%,Medium,0.63362,https://leetcode.com/problems/rotate-image
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,0.320394,https://leetcode.com/problems/sqrtx
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,9.96317,https://leetcode.com/problems/minimum-window-substring
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,0.315731,https://leetcode.com/problems/largest-rectangle-in-histogram
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,0.381273,https://leetcode.com/problems/merge-sorted-array
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,5.36781,https://leetcode.com/problems/decode-ways
109,Convert Sorted List to Binary Search Tree,"Linked List, Depth-first Search",50.8%,Medium,5.48125,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",23.9%,Hard,1.27875,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,32.3%,Hard,21.5763,https://leetcode.com/problems/word-ladder
143,Reorder List,Linked List,41.3%,Medium,0.392294,https://leetcode.com/problems/reorder-list
146,LRU Cache,Design,36.4%,Medium,0.135316,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",46.9%,Easy,0.167959,https://leetcode.com/problems/min-stack
157,Read N Characters Given Read4,String,37.8%,Easy,2.06928,https://leetcode.com/problems/read-n-characters-given-read4
158,Read N Characters Given Read4 II - Call multiple times,String,37.6%,Hard,81.2897,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,0.356767,https://leetcode.com/problems/number-of-islands
238,Product of Array Except Self,Array,61.4%,Medium,54.3931,https://leetcode.com/problems/product-of-array-except-self
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,0.775468,https://leetcode.com/problems/meeting-rooms-ii
279,Perfect Squares,"Math, Dynamic Programming, Breadth-first Search",49.3%,Medium,0.869528,https://leetcode.com/problems/perfect-squares
304,Range Sum Query 2D - Immutable,Dynamic Programming,41.4%,Medium,13.196,https://leetcode.com/problems/range-sum-query-2d-immutable
333,Largest BST Subtree,Tree,38.4%,Medium,3.19198,https://leetcode.com/problems/largest-bst-subtree
341,Flatten Nested List Iterator,"Stack, Design",56.0%,Medium,0.295134,https://leetcode.com/problems/flatten-nested-list-iterator
349,Intersection of Two Arrays,"Hash Table, Two Pointers, Binary Search, Sort",65.5%,Easy,1.90338,https://leetcode.com/problems/intersection-of-two-arrays
365,Water and Jug Problem,Math,31.4%,Medium,52.1085,https://leetcode.com/problems/water-and-jug-problem
409,Longest Palindrome,Hash Table,52.3%,Easy,0.795782,https://leetcode.com/problems/longest-palindrome
426,Convert Binary Search Tree to Sorted Doubly Linked List,"Linked List, Divide and Conquer, Tree",61.7%,Medium,3.06976,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
442,Find All Duplicates in an Array,Array,69.2%,Medium,0.994451,https://leetcode.com/problems/find-all-duplicates-in-an-array
567,Permutation in String,"Two Pointers, Sliding Window",44.6%,Medium,0.485984,https://leetcode.com/problems/permutation-in-string
642,Design Search Autocomplete System,"Design, Trie",46.6%,Hard,29.8426,https://leetcode.com/problems/design-search-autocomplete-system
692,Top K Frequent Words,"Hash Table, Heap, Trie",53.3%,Medium,0.306715,https://leetcode.com/problems/top-k-frequent-words
716,Max Stack,Design,43.2%,Easy,73.1034,https://leetcode.com/problems/max-stack
735,Asteroid Collision,Stack,43.4%,Medium,100.0,https://leetcode.com/problems/asteroid-collision
981,Time Based Key-Value Store,"Hash Table, Binary Search",54.3%,Medium,34.9233,https://leetcode.com/problems/time-based-key-value-store
1060,Missing Element in Sorted Array,Binary Search,54.9%,Medium,1.40938,https://leetcode.com/problems/missing-element-in-sorted-array
