Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,0.827571,https://leetcode.com/problems/longest-palindromic-substring
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.758077,https://leetcode.com/problems/letter-combinations-of-a-phone-number
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,1.0187,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,4.94079,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,4.75629,https://leetcode.com/problems/search-in-rotated-sorted-array
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,2.12454,https://leetcode.com/problems/combination-sum-ii
45,Jump Game II,"Array, Greedy",31.8%,Medium,51.6427,https://leetcode.com/problems/jump-game-ii
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.368489,https://leetcode.com/problems/group-anagrams
55,Jump Game,"Array, Greedy",35.3%,Medium,3.28404,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",41.5%,Medium,1.58137,https://leetcode.com/problems/merge-intervals
74,Search a 2D Matrix,"Array, Binary Search",38.3%,Medium,0.745909,https://leetcode.com/problems/search-a-2d-matrix
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,2.0666,https://leetcode.com/problems/longest-consecutive-sequence
138,Copy List with Random Pointer,"Hash Table, Linked List",41.7%,Medium,5.57828,https://leetcode.com/problems/copy-list-with-random-pointer
146,LRU Cache,Design,36.4%,Medium,7.8616,https://leetcode.com/problems/lru-cache
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,1.64115,https://leetcode.com/problems/number-of-islands
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",44.3%,Medium,1.97064,https://leetcode.com/problems/course-schedule
234,Palindrome Linked List,"Linked List, Two Pointers",42.2%,Easy,1.33706,https://leetcode.com/problems/palindrome-linked-list
238,Product of Array Except Self,Array,61.4%,Medium,5.06501,https://leetcode.com/problems/product-of-array-except-self
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,5.09419,https://leetcode.com/problems/meeting-rooms-ii
273,Integer to English Words,"Math, String",28.4%,Hard,5.1689,https://leetcode.com/problems/integer-to-english-words
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,1.78029,https://leetcode.com/problems/move-zeroes
287,Find the Duplicate Number,"Array, Two Pointers, Binary Search",58.0%,Medium,0.433793,https://leetcode.com/problems/find-the-duplicate-number
336,Palindrome Pairs,"Hash Table, String, Trie",35.0%,Hard,3.47335,https://leetcode.com/problems/palindrome-pairs
350,Intersection of Two Arrays II,"Hash Table, Two Pointers, Binary Search, Sort",52.2%,Easy,1.94118,https://leetcode.com/problems/intersection-of-two-arrays-ii
403,Frog Jump,Dynamic Programming,41.8%,Hard,31.8897,https://leetcode.com/problems/frog-jump
460,LFU Cache,Design,36.6%,Hard,2.07747,https://leetcode.com/problems/lfu-cache
564,Find the Closest Palindrome,String,20.4%,Hard,8.92932,https://leetcode.com/problems/find-the-closest-palindrome
703,Kth Largest Element in a Stream,"Heap, Design",51.0%,Easy,3.64074,https://leetcode.com/problems/kth-largest-element-in-a-stream
763,Partition Labels,"Two Pointers, Greedy",78.1%,Medium,2.57159,https://leetcode.com/problems/partition-labels
853,Car Fleet,Sort,44.6%,Medium,61.5383,https://leetcode.com/problems/car-fleet
977,Squares of a Sorted Array,"Array, Two Pointers",71.8%,Easy,1.37501,https://leetcode.com/problems/squares-of-a-sorted-array
991,Broken Calculator,"Math, Greedy",49.7%,Medium,100.0,https://leetcode.com/problems/broken-calculator
1003,Check If Word Is Valid After Substitutions,"String, Stack",56.7%,Medium,0.0,https://leetcode.com/problems/check-if-word-is-valid-after-substitutions
1052,Grumpy Bookstore Owner,"Array, Sliding Window",56.0%,Medium,84.4987,https://leetcode.com/problems/grumpy-bookstore-owner
1156,Swap For Longest Repeated Character Substring,String,47.0%,Medium,0.0,https://leetcode.com/problems/swap-for-longest-repeated-character-substring
1157,Online Majority Element In Subarray,"Array, Binary Search, Segment Tree",41.0%,Hard,0.0,https://leetcode.com/problems/online-majority-element-in-subarray
1559,Detect Cycles in 2D Grid,Depth-first Search,44.7%,Hard,0.0,https://leetcode.com/problems/detect-cycles-in-2d-grid
1687,Delivering Boxes from Storage to Ports,"Two Pointers, Dynamic Programming, Segment Tree, Dequeue",35.3%,Hard,0.0,https://leetcode.com/problems/delivering-boxes-from-storage-to-ports
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,Greedy,87.1%,Medium,0.0,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers
