Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,10.9126,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,1.22767,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,4.15127,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,2.96344,https://leetcode.com/problems/longest-palindromic-substring
12,Integer to Roman,"Math, String",57.2%,Medium,2.72878,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,2.29559,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,0.991922,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,9.39781,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,2.71459,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,7.86889,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,4.56253,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,3.64784,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,35.4388,https://leetcode.com/problems/merge-k-sorted-lists
27,Remove Element,"Array, Two Pointers",49.6%,Easy,1.06668,https://leetcode.com/problems/remove-element
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,17.0317,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,5.99642,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
36,Valid Sudoku,Hash Table,51.0%,Medium,10.2068,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,21.7042,https://leetcode.com/problems/sudoku-solver
41,First Missing Positive,Array,34.1%,Hard,8.47941,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,7.51969,https://leetcode.com/problems/trapping-rain-water
46,Permutations,Backtracking,67.3%,Medium,3.40544,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",59.9%,Medium,5.25641,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,1.66764,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,4.28983,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,4.51506,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,14.3651,https://leetcode.com/problems/merge-intervals
65,Valid Number,"Math, String",16.1%,Hard,7.31713,https://leetcode.com/problems/valid-number
71,Simplify Path,"String, Stack",35.0%,Medium,5.66058,https://leetcode.com/problems/simplify-path
73,Set Matrix Zeroes,Array,44.7%,Medium,22.2836,https://leetcode.com/problems/set-matrix-zeroes
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,21.3296,https://leetcode.com/problems/sort-colors
78,Subsets,"Array, Backtracking, Bit Manipulation",65.8%,Medium,1.72029,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",37.3%,Medium,11.3845,https://leetcode.com/problems/word-search
83,Remove Duplicates from Sorted List,Linked List,46.7%,Easy,4.66542,https://leetcode.com/problems/remove-duplicates-from-sorted-list
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,2.27011,https://leetcode.com/problems/merge-sorted-array
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,7.89553,https://leetcode.com/problems/decode-ways
92,Reverse Linked List II,Linked List,40.9%,Medium,13.3582,https://leetcode.com/problems/reverse-linked-list-ii
93,Restore IP Addresses,"String, Backtracking",38.0%,Medium,20.0169,https://leetcode.com/problems/restore-ip-addresses
94,Binary Tree Inorder Traversal,"Hash Table, Stack, Tree",66.4%,Medium,7.32484,https://leetcode.com/problems/binary-tree-inorder-traversal
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,0.94738,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,"Tree, Depth-first Search",42.9%,Hard,100.0,https://leetcode.com/problems/recover-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,2.69857,https://leetcode.com/problems/symmetric-tree
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,2.0004,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,8.95663,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
109,Convert Sorted List to Binary Search Tree,"Linked List, Depth-first Search",50.8%,Medium,6.79112,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
