Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,2.81705,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,10.2545,https://leetcode.com/problems/longest-substring-without-repeating-characters
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,5.98696,https://leetcode.com/problems/search-in-rotated-sorted-array
48,Rotate Image,Array,61.1%,Medium,5.44255,https://leetcode.com/problems/rotate-image
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,3.81539,https://leetcode.com/problems/maximum-subarray
73,Set Matrix Zeroes,Array,44.7%,Medium,55.5068,https://leetcode.com/problems/set-matrix-zeroes
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,11.0137,https://leetcode.com/problems/decode-ways
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,5.21502,https://leetcode.com/problems/number-of-islands
234,Palindrome Linked List,"Linked List, Two Pointers",42.2%,Easy,6.66101,https://leetcode.com/problems/palindrome-linked-list
742,Closest Leaf in a Binary Tree,Tree,44.6%,Medium,100.0,https://leetcode.com/problems/closest-leaf-in-a-binary-tree
