Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
48,Rotate Image,Array,61.1%,Medium,1.88218,https://leetcode.com/problems/rotate-image
54,Spiral Matrix,Array,36.7%,Medium,2.25084,https://leetcode.com/problems/spiral-matrix
68,Text Justification,String,30.4%,Hard,7.15893,https://leetcode.com/problems/text-justification
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,1.05737,https://leetcode.com/problems/number-of-islands
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,10.1891,https://leetcode.com/problems/course-schedule-ii
224,Basic Calculator,"Math, Stack",38.3%,Hard,5.62391,https://leetcode.com/problems/basic-calculator
498,Diagonal Traverse,,50.6%,Medium,60.3761,https://leetcode.com/problems/diagonal-traverse
611,Valid Triangle Number,Array,49.5%,Medium,13.3933,https://leetcode.com/problems/valid-triangle-number
735,Asteroid Collision,Stack,43.4%,Medium,7.862,https://leetcode.com/problems/asteroid-collision
786,K-th Smallest Prime Fraction,"Binary Search, Heap",43.7%,Hard,100.0,https://leetcode.com/problems/k-th-smallest-prime-fraction
1052,Grumpy Bookstore Owner,"Array, Sliding Window",56.0%,Medium,20.7521,https://leetcode.com/problems/grumpy-bookstore-owner
1329,Sort the Matrix Diagonally,"Array, Sort",81.6%,Medium,10.7171,https://leetcode.com/problems/sort-the-matrix-diagonally
