Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
13,Roman to Integer,"Math, String",57.1%,Easy,0.307895,https://leetcode.com/problems/roman-to-integer
36,Valid Sudoku,Hash Table,51.0%,Medium,0.77519,https://leetcode.com/problems/valid-sudoku
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,0.691117,https://leetcode.com/problems/course-schedule-ii
224,Basic Calculator,"Math, Stack",38.3%,Hard,27.9537,https://leetcode.com/problems/basic-calculator
227,Basic Calculator II,"String, Stack",38.9%,Medium,7.16035,https://leetcode.com/problems/basic-calculator-ii
256,Paint House,Dynamic Programming,54.1%,Medium,66.3454,https://leetcode.com/problems/paint-house
363,Max Sum of Rectangle No Larger Than K,"Binary Search, Dynamic Programming, Queue",38.6%,Hard,15.2062,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,4.80293,https://leetcode.com/problems/random-pick-with-weight
770,Basic Calculator IV,"Hash Table, String, Stack",54.4%,Hard,100.0,https://leetcode.com/problems/basic-calculator-iv
811,Subdomain Visit Count,Hash Table,71.8%,Easy,2.12184,https://leetcode.com/problems/subdomain-visit-count
881,Boats to Save People,"Two Pointers, Greedy",49.1%,Medium,32.6908,https://leetcode.com/problems/boats-to-save-people
1209,Remove All Adjacent Duplicates in String II,Stack,57.8%,Medium,1.41273,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
1289,Minimum Falling Path Sum II,Dynamic Programming,62.6%,Hard,11.4739,https://leetcode.com/problems/minimum-falling-path-sum-ii
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Array,34.1%,Medium,1.68706,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts
1472,Design Browser History,Design,72.2%,Medium,7.56691,https://leetcode.com/problems/design-browser-history
1481,Least Number of Unique Integers after K Removals,"Array, Sort",55.9%,Medium,5.00466,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals
1710,Maximum Units on a Truck,"Greedy, Sort",69.9%,Easy,10.1885,https://leetcode.com/problems/maximum-units-on-a-truck
