Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,0.170553,https://leetcode.com/problems/add-two-numbers
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.543501,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.477547,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,1.25908,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,1.03045,https://leetcode.com/problems/merge-k-sorted-lists
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,1.72386,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,46.3%,Medium,1.05557,https://leetcode.com/problems/count-and-say
41,First Missing Positive,Array,34.1%,Hard,4.11813,https://leetcode.com/problems/first-missing-positive
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,0.766815,https://leetcode.com/problems/minimum-path-sum
141,Linked List Cycle,"Linked List, Two Pointers",43.2%,Easy,0.350333,https://leetcode.com/problems/linked-list-cycle
146,LRU Cache,Design,36.4%,Medium,8.79334,https://leetcode.com/problems/lru-cache
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,1.17741,https://leetcode.com/problems/number-of-islands
214,Shortest Palindrome,String,30.8%,Hard,4.69501,https://leetcode.com/problems/shortest-palindrome
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,0.320391,https://leetcode.com/problems/move-zeroes
767,Reorganize String,"String, Heap, Greedy, Sort",50.3%,Medium,1.64121,https://leetcode.com/problems/reorganize-string
1189,Maximum Number of Balloons,"Hash Table, String",62.2%,Easy,80.569,https://leetcode.com/problems/maximum-number-of-balloons
1239,Maximum Length of a Concatenated String with Unique Characters,"Backtracking, Bit Manipulation",50.1%,Medium,100.0,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters
1304,Find N Unique Integers Sum up to Zero,Array,76.6%,Easy,4.24274,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero
1578,Minimum Deletion Cost to Avoid Repeating Letters,Greedy,60.7%,Medium,44.6812,https://leetcode.com/problems/minimum-deletion-cost-to-avoid-repeating-letters
