Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,0.193957,https://leetcode.com/problems/add-two-numbers
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.61808,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.964274,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,1.43185,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,1.17185,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,0.384487,https://leetcode.com/problems/search-in-rotated-sorted-array
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,1.96041,https://leetcode.com/problems/sudoku-solver
38,Count and Say,String,46.3%,Medium,1.20042,https://leetcode.com/problems/count-and-say
41,First Missing Positive,Array,34.1%,Hard,6.70372,https://leetcode.com/problems/first-missing-positive
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.468718,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,0.244731,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,0.714682,https://leetcode.com/problems/spiral-matrix
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,0.872037,https://leetcode.com/problems/minimum-path-sum
141,Linked List Cycle,"Linked List, Two Pointers",43.2%,Easy,0.398406,https://leetcode.com/problems/linked-list-cycle
146,LRU Cache,Design,36.4%,Medium,14.7297,https://leetcode.com/problems/lru-cache
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,1.33898,https://leetcode.com/problems/number-of-islands
214,Shortest Palindrome,String,30.8%,Hard,5.33926,https://leetcode.com/problems/shortest-palindrome
273,Integer to English Words,"Math, String",28.4%,Hard,1.66766,https://leetcode.com/problems/integer-to-english-words
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,0.818705,https://leetcode.com/problems/move-zeroes
692,Top K Frequent Words,"Hash Table, Heap, Trie",53.3%,Medium,1.15113,https://leetcode.com/problems/top-k-frequent-words
728,Self Dividing Numbers,Math,75.7%,Easy,3.40288,https://leetcode.com/problems/self-dividing-numbers
767,Reorganize String,"String, Heap, Greedy, Sort",50.3%,Medium,1.86641,https://leetcode.com/problems/reorganize-string
896,Monotonic Array,Array,57.9%,Easy,2.32427,https://leetcode.com/problems/monotonic-array
1189,Maximum Number of Balloons,"Hash Table, String",62.2%,Easy,100.0,https://leetcode.com/problems/maximum-number-of-balloons
1239,Maximum Length of a Concatenated String with Unique Characters,"Backtracking, Bit Manipulation",50.1%,Medium,86.8948,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters
1304,Find N Unique Integers Sum up to Zero,Array,76.6%,Easy,4.82492,https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero
1578,Minimum Deletion Cost to Avoid Repeating Letters,Greedy,60.7%,Medium,50.8123,https://leetcode.com/problems/minimum-deletion-cost-to-avoid-repeating-letters
