Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,4.79544,https://leetcode.com/problems/letter-combinations-of-a-phone-number
49,Group Anagrams,"Hash Table, String",59.9%,Medium,1.4061,https://leetcode.com/problems/group-anagrams
68,Text Justification,String,30.4%,Hard,55.6221,https://leetcode.com/problems/text-justification
146,LRU Cache,Design,36.4%,Medium,11.2442,https://leetcode.com/problems/lru-cache
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,0.393799,https://leetcode.com/problems/course-schedule-ii
225,Implement Stack using Queues,"Stack, Design",48.0%,Easy,1.09052,https://leetcode.com/problems/implement-stack-using-queues
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,0.427263,https://leetcode.com/problems/sliding-window-maximum
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,0.44011,https://leetcode.com/problems/find-median-from-data-stream
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,9.55718,https://leetcode.com/problems/reconstruct-itinerary
560,Subarray Sum Equals K,"Array, Hash Table",43.7%,Medium,0.574466,https://leetcode.com/problems/subarray-sum-equals-k
935,Knight Dialer,Dynamic Programming,46.8%,Medium,10.9666,https://leetcode.com/problems/knight-dialer
974,Subarray Sums Divisible by K,"Array, Hash Table",51.1%,Medium,100.0,https://leetcode.com/problems/subarray-sums-divisible-by-k
1636,Sort Array by Increasing Frequency,"Array, Sort",67.0%,Easy,3.82422,https://leetcode.com/problems/sort-array-by-increasing-frequency
