Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,2.46645,https://leetcode.com/problems/search-in-rotated-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,2.75929,https://leetcode.com/problems/trapping-rain-water
54,Spiral Matrix,Array,36.7%,Medium,12.6147,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,8.24865,https://leetcode.com/problems/merge-intervals
65,Valid Number,"Math, String",16.1%,Hard,44.6247,https://leetcode.com/problems/valid-number
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,23.4144,https://leetcode.com/problems/number-of-islands
419,Battleships in a Board,,71.3%,Medium,12.1644,https://leetcode.com/problems/battleships-in-a-board
460,LFU Cache,Design,36.6%,Hard,29.5008,https://leetcode.com/problems/lfu-cache
695,Max Area of Island,"Array, Depth-first Search",65.3%,Medium,76.3886,https://leetcode.com/problems/max-area-of-island
723,Candy Crush,"Array, Two Pointers",73.2%,Medium,52.7772,https://leetcode.com/problems/candy-crush
767,Reorganize String,"String, Heap, Greedy, Sort",50.3%,Medium,5.32878,https://leetcode.com/problems/reorganize-string
828,Count Unique Characters of All Substrings of a Given String,Two Pointers,46.9%,Hard,100.0,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string
841,Keys and Rooms,"Depth-first Search, Graph",66.5%,Medium,7.71529,https://leetcode.com/problems/keys-and-rooms
977,Squares of a Sorted Array,"Array, Two Pointers",71.8%,Easy,4.99359,https://leetcode.com/problems/squares-of-a-sorted-array
1136,Parallel Courses,"Dynamic Programming, Depth-first Search, Graph",61.1%,Medium,6.17072,https://leetcode.com/problems/parallel-courses
1230,Toss Strange Coins,"Math, Dynamic Programming",50.5%,Medium,0.0,https://leetcode.com/problems/toss-strange-coins
1435,Create a Session Bar Chart,,78.1%,Easy,42.3089,https://leetcode.com/problems/create-a-session-bar-chart
1500,Design a File Sharing System,"Array, Design",46.8%,Medium,0.0,https://leetcode.com/problems/design-a-file-sharing-system
