Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.20073,https://leetcode.com/problems/two-sum
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,0.186467,https://leetcode.com/problems/regular-expression-matching
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.0472162,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,0.952882,https://leetcode.com/problems/merge-k-sorted-lists
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.24674,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,0.0883526,https://leetcode.com/problems/trapping-rain-water
56,Merge Intervals,"Array, Sort",41.5%,Medium,1.32113,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,16.6295,https://leetcode.com/problems/insert-interval
68,Text Justification,String,30.4%,Hard,2.8204,https://leetcode.com/problems/text-justification
79,Word Search,"Array, Backtracking",37.3%,Medium,0.301264,https://leetcode.com/problems/word-search
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,0.243358,https://leetcode.com/problems/largest-rectangle-in-histogram
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,0.196867,https://leetcode.com/problems/symmetric-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,0.164499,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,0.539865,https://leetcode.com/problems/longest-consecutive-sequence
133,Clone Graph,"Depth-first Search, Breadth-first Search, Graph",40.1%,Medium,0.737637,https://leetcode.com/problems/clone-graph
139,Word Break,Dynamic Programming,42.0%,Medium,0.115073,https://leetcode.com/problems/word-break
146,LRU Cache,Design,36.4%,Medium,0.234236,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",46.9%,Easy,0.129459,https://leetcode.com/problems/min-stack
161,One Edit Distance,String,33.2%,Medium,0.840823,https://leetcode.com/problems/one-edit-distance
198,House Robber,Dynamic Programming,43.2%,Medium,0.127234,https://leetcode.com/problems/house-robber
206,Reverse Linked List,Linked List,65.9%,Easy,0.0500577,https://leetcode.com/problems/reverse-linked-list
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,0.512611,https://leetcode.com/problems/implement-trie-prefix-tree
