Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
43,Multiply Strings,"Math, String",35.2%,Medium,0.514897,https://leetcode.com/problems/multiply-strings
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.211098,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",41.5%,Medium,0.145747,https://leetcode.com/problems/merge-intervals
123,Best Time to Buy and Sell Stock III,"Array, Dynamic Programming",40.3%,Hard,3.92023,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
146,LRU Cache,Design,36.4%,Medium,2.95345,https://leetcode.com/problems/lru-cache
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,3.29099,https://leetcode.com/problems/insert-delete-getrandom-o1
384,Shuffle an Array,,54.2%,Medium,0.497256,https://leetcode.com/problems/shuffle-an-array
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,1.13508,https://leetcode.com/problems/random-pick-with-weight
547,Number of Provinces,"Depth-first Search, Union Find",60.9%,Medium,65.3658,https://leetcode.com/problems/number-of-provinces
710,Random Pick with Blacklist,"Hash Table, Binary Search, Sort, Random",33.1%,Hard,30.7316,https://leetcode.com/problems/random-pick-with-blacklist
918,Maximum Sum Circular Subarray,Array,34.4%,Medium,5.85162,https://leetcode.com/problems/maximum-sum-circular-subarray
1048,Longest String Chain,"Hash Table, Dynamic Programming",55.7%,Medium,100.0,https://leetcode.com/problems/longest-string-chain
1163,Last Substring in Lexicographical Order,"String, Suffix Array",36.2%,Hard,2.06086,https://leetcode.com/problems/last-substring-in-lexicographical-order
