Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,55.86,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,31.711,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,19.5432,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,21.8661,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,11.2893,https://leetcode.com/problems/longest-palindromic-substring
6,ZigZag Conversion,String,38.4%,Medium,8.17617,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,26.0%,Easy,4.96633,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,3.22161,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,36.5889,https://leetcode.com/problems/regular-expression-matching
13,Roman to Integer,"Math, String",57.1%,Easy,7.96986,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",28.3%,Medium,19.5554,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,4.19837,https://leetcode.com/problems/3sum-closest
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,25.3847,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,13.6984,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,14.4995,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,35.6036,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,21.8759,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,6.45714,https://leetcode.com/problems/swap-nodes-in-pairs
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,0.611441,https://leetcode.com/problems/remove-duplicates-from-sorted-array
31,Next Permutation,Array,33.9%,Medium,8.42669,https://leetcode.com/problems/next-permutation
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,13.3017,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,9.86817,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,39.0171,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
36,Valid Sudoku,Hash Table,51.0%,Medium,68.3703,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,15.0257,https://leetcode.com/problems/sudoku-solver
39,Combination Sum,"Array, Backtracking",59.9%,Medium,17.7591,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,6.17234,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,34.1%,Hard,10.5416,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,60.3224,https://leetcode.com/problems/trapping-rain-water
45,Jump Game II,"Array, Greedy",31.8%,Medium,0.490127,https://leetcode.com/problems/jump-game-ii
46,Permutations,Backtracking,67.3%,Medium,7.77745,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,50.0%,Medium,2.34812,https://leetcode.com/problems/permutations-ii
48,Rotate Image,Array,61.1%,Medium,6.80832,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,46.1597,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,2.57267,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,50.4%,Hard,12.9937,https://leetcode.com/problems/n-queens
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,16.4592,https://leetcode.com/problems/maximum-subarray
54,Spiral Matrix,Array,36.7%,Medium,23.9034,https://leetcode.com/problems/spiral-matrix
55,Jump Game,"Array, Greedy",35.3%,Medium,2.91985,https://leetcode.com/problems/jump-game
56,Merge Intervals,"Array, Sort",41.5%,Medium,67.7821,https://leetcode.com/problems/merge-intervals
57,Insert Interval,"Array, Sort",35.4%,Medium,19.3763,https://leetcode.com/problems/insert-interval
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,3.23788,https://leetcode.com/problems/unique-paths
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,3.73177,https://leetcode.com/problems/minimum-path-sum
68,Text Justification,String,30.4%,Hard,88.1087,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,6.15384,https://leetcode.com/problems/sqrtx
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,7.74102,https://leetcode.com/problems/climbing-stairs
72,Edit Distance,"String, Dynamic Programming",47.2%,Hard,5.59994,https://leetcode.com/problems/edit-distance
74,Search a 2D Matrix,"Array, Binary Search",38.3%,Medium,9.13007,https://leetcode.com/problems/search-a-2d-matrix
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,5.49957,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,34.4828,https://leetcode.com/problems/minimum-window-substring
78,Subsets,"Array, Backtracking, Bit Manipulation",65.8%,Medium,9.64246,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",37.3%,Medium,36.2826,https://leetcode.com/problems/word-search
84,Largest Rectangle in Histogram,"Array, Stack",37.5%,Hard,1.6117,https://leetcode.com/problems/largest-rectangle-in-histogram
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,30.7708,https://leetcode.com/problems/maximal-rectangle
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,2.33404,https://leetcode.com/problems/merge-sorted-array
90,Subsets II,"Array, Backtracking",49.3%,Medium,2.78319,https://leetcode.com/problems/subsets-ii
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,17.6821,https://leetcode.com/problems/decode-ways
93,Restore IP Addresses,"String, Backtracking",38.0%,Medium,14.6325,https://leetcode.com/problems/restore-ip-addresses
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,2.19276,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,"Tree, Depth-first Search",42.9%,Hard,31.004,https://leetcode.com/problems/recover-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,6.98013,https://leetcode.com/problems/symmetric-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",57.1%,Medium,3.29543,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,0.973378,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
104,Maximum Depth of Binary Tree,"Tree, Depth-first Search, Recursion",68.5%,Easy,1.14838,https://leetcode.com/problems/maximum-depth-of-binary-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,2.11849,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
114,Flatten Binary Tree to Linked List,"Tree, Depth-first Search",52.6%,Medium,1.64659,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
115,Distinct Subsequences,"String, Dynamic Programming",40.1%,Hard,16.7699,https://leetcode.com/problems/distinct-subsequences
118,Pascal's Triangle,Array,55.7%,Easy,4.42926,https://leetcode.com/problems/pascals-triangle
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,12.774,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,"Array, Greedy",58.9%,Easy,3.57699,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
124,Binary Tree Maximum Path Sum,"Tree, Depth-first Search, Recursion",35.7%,Hard,5.69694,https://leetcode.com/problems/binary-tree-maximum-path-sum
125,Valid Palindrome,"Two Pointers, String",38.6%,Easy,1.09472,https://leetcode.com/problems/valid-palindrome
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",23.9%,Hard,37.1972,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,32.3%,Hard,31.863,https://leetcode.com/problems/word-ladder
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,41.4287,https://leetcode.com/problems/longest-consecutive-sequence
130,Surrounded Regions,"Depth-first Search, Breadth-first Search, Union Find",29.9%,Medium,22.9075,https://leetcode.com/problems/surrounded-regions
