Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,32.0556,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,26.4281,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,15.4176,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,34.9617,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,12.9788,https://leetcode.com/problems/longest-palindromic-substring
8,String to Integer (atoi),"Math, String",15.8%,Medium,14.5418,https://leetcode.com/problems/string-to-integer-atoi
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,3.85876,https://leetcode.com/problems/container-with-most-water
15,3Sum,"Array, Two Pointers",28.3%,Medium,20.1356,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,8.60228,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,70.8359,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,12.8152,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,21.4395,https://leetcode.com/problems/merge-k-sorted-lists
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,1.33545,https://leetcode.com/problems/implement-strstr
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,0.359618,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,49.4634,https://leetcode.com/problems/search-in-rotated-sorted-array
36,Valid Sudoku,Hash Table,51.0%,Medium,2.46152,https://leetcode.com/problems/valid-sudoku
38,Count and Say,String,46.3%,Medium,8.85106,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",59.9%,Medium,6.9633,https://leetcode.com/problems/combination-sum
41,First Missing Positive,Array,34.1%,Hard,10.8858,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,8.11677,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",59.9%,Medium,73.2703,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,6.31762,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,1.8307,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",41.5%,Medium,49.5053,https://leetcode.com/problems/merge-intervals
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,11.4085,https://leetcode.com/problems/unique-paths
63,Unique Paths II,"Array, Dynamic Programming",35.4%,Medium,5.9053,https://leetcode.com/problems/unique-paths-ii
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,1.68339,https://leetcode.com/problems/climbing-stairs
73,Set Matrix Zeroes,Array,44.7%,Medium,1.07871,https://leetcode.com/problems/set-matrix-zeroes
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,25.6737,https://leetcode.com/problems/sort-colors
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,21.1908,https://leetcode.com/problems/minimum-window-substring
80,Remove Duplicates from Sorted Array II,"Array, Two Pointers",46.5%,Medium,2.52757,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,29.3736,https://leetcode.com/problems/maximal-rectangle
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,10.5148,https://leetcode.com/problems/merge-sorted-array
93,Restore IP Addresses,"String, Backtracking",38.0%,Medium,54.1798,https://leetcode.com/problems/restore-ip-addresses
97,Interleaving String,"String, Dynamic Programming",32.8%,Medium,32.0655,https://leetcode.com/problems/interleaving-string
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,18.9271,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,"Tree, Depth-first Search",42.9%,Hard,13.9478,https://leetcode.com/problems/recover-binary-search-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",57.1%,Medium,3.21631,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,3.39354,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
108,Convert Sorted Array to Binary Search Tree,"Tree, Depth-first Search",61.1%,Easy,5.47631,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
110,Balanced Binary Tree,"Tree, Depth-first Search, Recursion",44.9%,Easy,2.40525,https://leetcode.com/problems/balanced-binary-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,16.5396,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
127,Word Ladder,Breadth-first Search,32.3%,Hard,13.3919,https://leetcode.com/problems/word-ladder
133,Clone Graph,"Depth-first Search, Breadth-first Search, Graph",40.1%,Medium,6.70279,https://leetcode.com/problems/clone-graph
138,Copy List with Random Pointer,"Hash Table, Linked List",41.7%,Medium,27.3453,https://leetcode.com/problems/copy-list-with-random-pointer
139,Word Break,Dynamic Programming,42.0%,Medium,10.5134,https://leetcode.com/problems/word-break
141,Linked List Cycle,"Linked List, Two Pointers",43.2%,Easy,5.78752,https://leetcode.com/problems/linked-list-cycle
146,LRU Cache,Design,36.4%,Medium,100.0,https://leetcode.com/problems/lru-cache
150,Evaluate Reverse Polish Notation,Stack,38.4%,Medium,8.61847,https://leetcode.com/problems/evaluate-reverse-polish-notation
151,Reverse Words in a String,String,24.3%,Medium,13.3491,https://leetcode.com/problems/reverse-words-in-a-string
168,Excel Sheet Column Title,Math,32.0%,Easy,6.47537,https://leetcode.com/problems/excel-sheet-column-title
179,Largest Number,Sort,30.9%,Medium,15.0645,https://leetcode.com/problems/largest-number
199,Binary Tree Right Side View,"Tree, Depth-first Search, Breadth-first Search, Recursion, Queue",56.7%,Medium,1.79847,https://leetcode.com/problems/binary-tree-right-side-view
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,16.3841,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,13.8773,https://leetcode.com/problems/reverse-linked-list
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,7.02045,https://leetcode.com/problems/kth-largest-element-in-an-array
221,Maximal Square,Dynamic Programming,39.7%,Medium,27.1463,https://leetcode.com/problems/maximal-square
226,Invert Binary Tree,Tree,67.5%,Easy,6.18395,https://leetcode.com/problems/invert-binary-tree
230,Kth Smallest Element in a BST,"Binary Search, Tree",63.1%,Medium,2.1883,https://leetcode.com/problems/kth-smallest-element-in-a-bst
236,Lowest Common Ancestor of a Binary Tree,Tree,49.6%,Medium,12.0909,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
238,Product of Array Except Self,Array,61.4%,Medium,19.8368,https://leetcode.com/problems/product-of-array-except-self
242,Valid Anagram,"Hash Table, Sort",59.0%,Easy,6.59942,https://leetcode.com/problems/valid-anagram
252,Meeting Rooms,Sort,55.6%,Easy,2.24904,https://leetcode.com/problems/meeting-rooms
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,5.4373,https://leetcode.com/problems/meeting-rooms-ii
255,Verify Preorder Sequence in Binary Search Tree,"Stack, Tree",46.5%,Medium,86.6352,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree
269,Alien Dictionary,"Graph, Topological Sort",33.8%,Hard,8.3184,https://leetcode.com/problems/alien-dictionary
277,Find the Celebrity,Array,44.2%,Medium,26.1181,https://leetcode.com/problems/find-the-celebrity
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,36.0986,https://leetcode.com/problems/find-median-from-data-stream
297,Serialize and Deserialize Binary Tree,"Tree, Design",50.4%,Hard,12.6085,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
304,Range Sum Query 2D - Immutable,Dynamic Programming,41.4%,Medium,2.74365,https://leetcode.com/problems/range-sum-query-2d-immutable
322,Coin Change,Dynamic Programming,37.8%,Medium,26.757,https://leetcode.com/problems/coin-change
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,4.57406,https://leetcode.com/problems/reconstruct-itinerary
347,Top K Frequent Elements,"Hash Table, Heap",62.7%,Medium,1.7481,https://leetcode.com/problems/top-k-frequent-elements
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,5.11059,https://leetcode.com/problems/insert-delete-getrandom-o1
394,Decode String,"Stack, Depth-first Search",53.1%,Medium,7.56984,https://leetcode.com/problems/decode-string
412,Fizz Buzz,,63.8%,Easy,23.0759,https://leetcode.com/problems/fizz-buzz
416,Partition Equal Subset Sum,Dynamic Programming,45.0%,Medium,1.35815,https://leetcode.com/problems/partition-equal-subset-sum
421,Maximum XOR of Two Numbers in an Array,"Bit Manipulation, Trie",54.4%,Medium,7.52307,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array
426,Convert Binary Search Tree to Sorted Doubly Linked List,"Linked List, Divide and Conquer, Tree",61.7%,Medium,13.8411,https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
443,String Compression,String,44.3%,Medium,3.88501,https://leetcode.com/problems/string-compression
460,LFU Cache,Design,36.6%,Hard,67.514,https://leetcode.com/problems/lfu-cache
509,Fibonacci Number,Array,67.9%,Easy,0.750384,https://leetcode.com/problems/fibonacci-number
525,Contiguous Array,Hash Table,43.6%,Medium,16.7889,https://leetcode.com/problems/contiguous-array
532,K-diff Pairs in an Array,"Array, Two Pointers",35.6%,Medium,3.61821,https://leetcode.com/problems/k-diff-pairs-in-an-array
