Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.85786,https://leetcode.com/problems/valid-parentheses
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,1.33905,https://leetcode.com/problems/merge-sorted-array
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,1.87821,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,1.25273,https://leetcode.com/problems/number-of-islands
383,Ransom Note,String,53.5%,Easy,66.9742,https://leetcode.com/problems/ransom-note
498,Diagonal Traverse,,50.6%,Medium,27.6741,https://leetcode.com/problems/diagonal-traverse
829,Consecutive Numbers Sum,Math,39.2%,Hard,100.0,https://leetcode.com/problems/consecutive-numbers-sum
921,Minimum Add to Make Parentheses Valid,"Stack, Greedy",75.0%,Medium,20.1048,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
1071,Greatest Common Divisor of Strings,String,51.8%,Easy,29.7781,https://leetcode.com/problems/greatest-common-divisor-of-strings
1163,Last Substring in Lexicographical Order,"String, Suffix Array",36.2%,Hard,38.3514,https://leetcode.com/problems/last-substring-in-lexicographical-order
1353,Maximum Number of Events That Can Be Attended,"Greedy, Sort, Segment Tree",30.6%,Medium,71.3771,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1424,Diagonal Traverse II,"Array, Sort",46.4%,Medium,32.7218,https://leetcode.com/problems/diagonal-traverse-ii
