Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,5.78399,https://leetcode.com/problems/longest-palindromic-substring
56,Merge Intervals,"Array, Sort",41.5%,Medium,0.643562,https://leetcode.com/problems/merge-intervals
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,0.384717,https://leetcode.com/problems/sqrtx
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,2.67975,https://leetcode.com/problems/maximal-rectangle
125,Valid Palindrome,"Two Pointers, String",38.6%,Easy,3.82344,https://leetcode.com/problems/valid-palindrome
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,1.03507,https://leetcode.com/problems/course-schedule-ii
224,Basic Calculator,"Math, Stack",38.3%,Hard,2.25017,https://leetcode.com/problems/basic-calculator
409,Longest Palindrome,Hash Table,52.3%,Easy,0.955544,https://leetcode.com/problems/longest-palindrome
412,Fizz Buzz,,63.8%,Easy,1.03103,https://leetcode.com/problems/fizz-buzz
415,Add Strings,String,48.6%,Easy,1.40572,https://leetcode.com/problems/add-strings
443,String Compression,String,44.3%,Medium,1.82596,https://leetcode.com/problems/string-compression
718,Maximum Length of Repeated Subarray,"Array, Hash Table, Binary Search, Dynamic Programming",50.6%,Medium,1.79583,https://leetcode.com/problems/maximum-length-of-repeated-subarray
759,Employee Free Time,"Heap, Greedy",68.6%,Hard,16.2568,https://leetcode.com/problems/employee-free-time
811,Subdomain Visit Count,Hash Table,71.8%,Easy,59.0633,https://leetcode.com/problems/subdomain-visit-count
840,Magic Squares In Grid,Array,37.9%,Medium,100.0,https://leetcode.com/problems/magic-squares-in-grid
1014,Best Sightseeing Pair,Array,53.0%,Medium,10.511,https://leetcode.com/problems/best-sightseeing-pair
1189,Maximum Number of Balloons,"Hash Table, String",62.2%,Easy,4.00279,https://leetcode.com/problems/maximum-number-of-balloons
1193,Monthly Transactions I,,69.0%,Medium,0.0,https://leetcode.com/problems/monthly-transactions-i
1194,Tournament Winners,,52.5%,Hard,43.0611,https://leetcode.com/problems/tournament-winners
1204,Last Person to Fit in the Elevator,,72.3%,Medium,48.2722,https://leetcode.com/problems/last-person-to-fit-in-the-elevator
1212,Team Scores in Football Tournament,,56.7%,Medium,79.5316,https://leetcode.com/problems/team-scores-in-football-tournament
1244,Design A Leaderboard,"Hash Table, Sort, Design",66.7%,Medium,8.15539,https://leetcode.com/problems/design-a-leaderboard
1405,Longest Happy String,"Dynamic Programming, Greedy",52.8%,Medium,0.0,https://leetcode.com/problems/longest-happy-string
1604,Alert Using Same Key-Card Three or More Times in a One Hour Period,"String, Ordered Map",43.1%,Medium,23.4178,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period
