Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,3.49443,https://leetcode.com/problems/median-of-two-sorted-arrays
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,11.6573,https://leetcode.com/problems/merge-k-sorted-lists
41,First Missing Positive,Array,34.1%,Hard,16.9195,https://leetcode.com/problems/first-missing-positive
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,8.02174,https://leetcode.com/problems/merge-sorted-array
146,LRU Cache,Design,36.4%,Medium,11.3459,https://leetcode.com/problems/lru-cache
153,Find Minimum in Rotated Sorted Array,"Array, Binary Search",46.5%,Medium,7.49974,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,13.3198,https://leetcode.com/problems/number-of-islands
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",44.3%,Medium,24.9356,https://leetcode.com/problems/course-schedule
224,Basic Calculator,"Math, Stack",38.3%,Hard,17.7636,https://leetcode.com/problems/basic-calculator
282,Expression Add Operators,Divide and Conquer,37.0%,Hard,40.2439,https://leetcode.com/problems/expression-add-operators
311,Sparse Matrix Multiplication,Hash Table,64.2%,Medium,100.0,https://leetcode.com/problems/sparse-matrix-multiplication
340,Longest Substring with At Most K Distinct Characters,"Hash Table, Two Pointers, String, Sliding Window",45.8%,Medium,16.9082,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
377,Combination Sum IV,Dynamic Programming,47.1%,Medium,4.84123,https://leetcode.com/problems/combination-sum-iv
424,Longest Repeating Character Replacement,"Two Pointers, Sliding Window",48.5%,Medium,46.152,https://leetcode.com/problems/longest-repeating-character-replacement
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,14.2549,https://leetcode.com/problems/random-pick-with-weight
680,Valid Palindrome II,String,37.2%,Easy,8.20332,https://leetcode.com/problems/valid-palindrome-ii
767,Reorganize String,"String, Heap, Greedy, Sort",50.3%,Medium,73.076,https://leetcode.com/problems/reorganize-string
1152,Analyze User Website Visit Pattern,"Array, Hash Table, Sort",43.1%,Medium,41.6283,https://leetcode.com/problems/analyze-user-website-visit-pattern
1472,Design Browser History,Design,72.2%,Medium,40.0063,https://leetcode.com/problems/design-browser-history
