Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,1.6842,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,0.454558,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,7.73413,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,7.50767,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,26.0%,Easy,0.463747,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,2.63728,https://leetcode.com/problems/string-to-integer-atoi
10,Regular Expression Matching,"String, Dynamic Programming, Backtracking",27.5%,Hard,2.12788,https://leetcode.com/problems/regular-expression-matching
13,Roman to Integer,"Math, String",57.1%,Easy,0.850492,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,3.29288,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,1.44854,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,6.88085,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,2.15088,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,0.610159,https://leetcode.com/problems/merge-two-sorted-lists
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,2.74636,https://leetcode.com/problems/merge-k-sorted-lists
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,1.75928,https://leetcode.com/problems/swap-nodes-in-pairs
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,0.531915,https://leetcode.com/problems/remove-duplicates-from-sorted-array
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,3.5922,https://leetcode.com/problems/search-in-rotated-sorted-array
39,Combination Sum,"Array, Backtracking",59.9%,Medium,9.482,https://leetcode.com/problems/combination-sum
40,Combination Sum II,"Array, Backtracking",50.5%,Medium,2.82725,https://leetcode.com/problems/combination-sum-ii
41,First Missing Positive,Array,34.1%,Hard,3.98607,https://leetcode.com/problems/first-missing-positive
46,Permutations,Backtracking,67.3%,Medium,15.197,https://leetcode.com/problems/permutations
48,Rotate Image,Array,61.1%,Medium,1.4006,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,21.6757,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,5.52446,https://leetcode.com/problems/powx-n
51,N-Queens,Backtracking,50.4%,Hard,4.53182,https://leetcode.com/problems/n-queens
54,Spiral Matrix,Array,36.7%,Medium,14.8272,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,18.5316,https://leetcode.com/problems/merge-intervals
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,2.04371,https://leetcode.com/problems/minimum-path-sum
66,Plus One,Array,42.2%,Easy,0.976121,https://leetcode.com/problems/plus-one
68,Text Justification,String,30.4%,Hard,5.32721,https://leetcode.com/problems/text-justification
73,Set Matrix Zeroes,Array,44.7%,Medium,2.10432,https://leetcode.com/problems/set-matrix-zeroes
74,Search a 2D Matrix,"Array, Binary Search",38.3%,Medium,2.2236,https://leetcode.com/problems/search-a-2d-matrix
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,9.15825,https://leetcode.com/problems/sort-colors
78,Subsets,"Array, Backtracking, Bit Manipulation",65.8%,Medium,1.43213,https://leetcode.com/problems/subsets
79,Word Search,"Array, Backtracking",37.3%,Medium,3.43788,https://leetcode.com/problems/word-search
83,Remove Duplicates from Sorted List,Linked List,46.7%,Easy,1.73086,https://leetcode.com/problems/remove-duplicates-from-sorted-list
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,0.788689,https://leetcode.com/problems/validate-binary-search-tree
