Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
20,Valid Parentheses,"String, Stack",40.0%,Easy,2.07027,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,1.5023,https://leetcode.com/problems/merge-two-sorted-lists
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,4.63097,https://leetcode.com/problems/merge-sorted-array
134,Gas Station,Greedy,41.7%,Medium,2.79826,https://leetcode.com/problems/gas-station
206,Reverse Linked List,Linked List,65.9%,Easy,0.35242,https://leetcode.com/problems/reverse-linked-list
221,Maximal Square,Dynamic Programming,39.7%,Medium,100.0,https://leetcode.com/problems/maximal-square
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,5.07216,https://leetcode.com/problems/sliding-window-maximum
259,3Sum Smaller,"Array, Two Pointers",49.3%,Medium,83.185,https://leetcode.com/problems/3sum-smaller
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,0.526811,https://leetcode.com/problems/move-zeroes
443,String Compression,String,44.3%,Medium,4.67567,https://leetcode.com/problems/string-compression
1010,Pairs of Songs With Total Durations Divisible by 60,Array,50.8%,Medium,14.7815,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1012,Numbers With Repeated Digits,"Math, Dynamic Programming",37.9%,Hard,63.0801,https://leetcode.com/problems/numbers-with-repeated-digits
1151,Minimum Swaps to Group All 1's Together,"Array, Sliding Window",58.7%,Medium,22.1382,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together
1355,Activity Participants,,74.5%,Medium,42.9753,https://leetcode.com/problems/activity-participants
1518,Water Bottles,Greedy,60.5%,Easy,24.9101,https://leetcode.com/problems/water-bottles
