Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
13,Roman to Integer,"Math, String",57.1%,Easy,0.91954,https://leetcode.com/problems/roman-to-integer
20,Valid Parentheses,"String, Stack",40.0%,Easy,2.3208,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,0.293588,https://leetcode.com/problems/merge-two-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,6.82236,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.603317,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
46,Permutations,Backtracking,67.3%,Medium,2.41842,https://leetcode.com/problems/permutations
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,8.02716,https://leetcode.com/problems/powx-n
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,6.78311,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",41.5%,Medium,0.364734,https://leetcode.com/problems/merge-intervals
65,Valid Number,"Math, String",16.1%,Hard,11.4648,https://leetcode.com/problems/valid-number
68,Text Justification,String,30.4%,Hard,21.9237,https://leetcode.com/problems/text-justification
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,0.603838,https://leetcode.com/problems/sqrtx
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,3.3242,https://leetcode.com/problems/minimum-window-substring
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,0.909332,https://leetcode.com/problems/merge-sorted-array
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",57.1%,Medium,1.0923,https://leetcode.com/problems/binary-tree-level-order-traversal
104,Maximum Depth of Binary Tree,"Tree, Depth-first Search, Recursion",68.5%,Easy,15.0646,https://leetcode.com/problems/maximum-depth-of-binary-tree
149,Max Points on a Line,"Hash Table, Math",17.8%,Hard,18.4806,https://leetcode.com/problems/max-points-on-a-line
150,Evaluate Reverse Polish Notation,Stack,38.4%,Medium,8.08966,https://leetcode.com/problems/evaluate-reverse-polish-notation
151,Reverse Words in a String,String,24.3%,Medium,2.36357,https://leetcode.com/problems/reverse-words-in-a-string
