Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
36,Valid Sudoku,Hash Table,51.0%,Medium,4.13406,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,34.884,https://leetcode.com/problems/sudoku-solver
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,3.35622,https://leetcode.com/problems/minimum-window-substring
79,Word Search,"Array, Backtracking",37.3%,Medium,6.63732,https://leetcode.com/problems/word-search
146,LRU Cache,Design,36.4%,Medium,5.16059,https://leetcode.com/problems/lru-cache
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,30.9714,https://leetcode.com/problems/implement-trie-prefix-tree
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,3.68571,https://leetcode.com/problems/course-schedule-ii
269,Alien Dictionary,"Graph, Topological Sort",33.8%,Hard,68.7799,https://leetcode.com/problems/alien-dictionary
621,Task Scheduler,"Array, Greedy, Queue",52.4%,Medium,35.0073,https://leetcode.com/problems/task-scheduler
698,Partition to K Equal Sum Subsets,"Dynamic Programming, Recursion",45.5%,Medium,10.6842,https://leetcode.com/problems/partition-to-k-equal-sum-subsets
726,Number of Atoms,"Hash Table, Stack, Recursion",51.0%,Hard,36.9214,https://leetcode.com/problems/number-of-atoms
759,Employee Free Time,"Heap, Greedy",68.6%,Hard,100.0,https://leetcode.com/problems/employee-free-time
811,Subdomain Visit Count,Hash Table,71.8%,Easy,68.1415,https://leetcode.com/problems/subdomain-visit-count
1306,Jump Game III,"Depth-first Search, Breadth-first Search, Recursion",62.2%,Medium,14.7344,https://leetcode.com/problems/jump-game-iii
