Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,6.46654,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,5.91076,https://leetcode.com/problems/longest-substring-without-repeating-characters
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,8.68158,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,18.5739,https://leetcode.com/problems/valid-parentheses
26,Remove Duplicates from Sorted Array,"Array, Two Pointers",46.9%,Easy,18.3364,https://leetcode.com/problems/remove-duplicates-from-sorted-array
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,31.0448,https://leetcode.com/problems/search-in-rotated-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,34.7306,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",59.9%,Medium,16.8441,https://leetcode.com/problems/group-anagrams
57,Insert Interval,"Array, Sort",35.4%,Medium,37.1434,https://leetcode.com/problems/insert-interval
79,Word Search,"Array, Backtracking",37.3%,Medium,23.4854,https://leetcode.com/problems/word-search
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,57.3065,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,18.089,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
206,Reverse Linked List,Linked List,65.9%,Easy,8.75923,https://leetcode.com/problems/reverse-linked-list
344,Reverse String,"Two Pointers, String",70.8%,Easy,26.8317,https://leetcode.com/problems/reverse-string
387,First Unique Character in a String,"Hash Table, String",54.0%,Easy,18.5534,https://leetcode.com/problems/first-unique-character-in-a-string
438,Find All Anagrams in a String,Hash Table,45.3%,Medium,48.2675,https://leetcode.com/problems/find-all-anagrams-in-a-string
560,Subarray Sum Equals K,"Array, Hash Table",43.7%,Medium,19.016,https://leetcode.com/problems/subarray-sum-equals-k
653,Two Sum IV - Input is a BST,Tree,56.4%,Easy,80.0311,https://leetcode.com/problems/two-sum-iv-input-is-a-bst
706,Design HashMap,"Hash Table, Design",64.0%,Easy,60.0622,https://leetcode.com/problems/design-hashmap
1329,Sort the Matrix Diagonally,"Array, Sort",81.6%,Medium,100.0,https://leetcode.com/problems/sort-the-matrix-diagonally
