Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.64639,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,9.76571,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,8.2852,https://leetcode.com/problems/longest-substring-without-repeating-characters
8,String to Integer (atoi),"Math, String",15.8%,Medium,9.09254,https://leetcode.com/problems/string-to-integer-atoi
15,3Sum,"Array, Two Pointers",28.3%,Medium,19.8686,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,1.95199,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,7.4156,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,8.39536,https://leetcode.com/problems/merge-two-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,6.98018,https://leetcode.com/problems/search-in-rotated-sorted-array
38,Count and Say,String,46.3%,Medium,9.69943,https://leetcode.com/problems/count-and-say
41,First Missing Positive,Array,34.1%,Hard,6.12486,https://leetcode.com/problems/first-missing-positive
49,Group Anagrams,"Hash Table, String",59.9%,Medium,23.5012,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,1.97744,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",41.5%,Medium,63.8914,https://leetcode.com/problems/merge-intervals
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,4.923,https://leetcode.com/problems/unique-paths
63,Unique Paths II,"Array, Dynamic Programming",35.4%,Medium,22.4817,https://leetcode.com/problems/unique-paths-ii
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,2.83922,https://leetcode.com/problems/climbing-stairs
73,Set Matrix Zeroes,Array,44.7%,Medium,7.25506,https://leetcode.com/problems/set-matrix-zeroes
