Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,2.91741,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,1.13312,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,2.16072,https://leetcode.com/problems/longest-substring-without-repeating-characters
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,4.72443,https://leetcode.com/problems/container-with-most-water
15,3Sum,"Array, Two Pointers",28.3%,Medium,3.61091,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,1.41135,https://leetcode.com/problems/letter-combinations-of-a-phone-number
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,20.8876,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,3.04853,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,5.04689,https://leetcode.com/problems/search-in-rotated-sorted-array
41,First Missing Positive,Array,34.1%,Hard,4.42847,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,5.64609,https://leetcode.com/problems/trapping-rain-water
47,Permutations II,Backtracking,50.0%,Medium,7.07281,https://leetcode.com/problems/permutations-ii
49,Group Anagrams,"Hash Table, String",59.9%,Medium,2.73831,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",41.5%,Medium,4.24654,https://leetcode.com/problems/merge-intervals
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,4.71101,https://leetcode.com/problems/merge-sorted-array
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,1.96604,https://leetcode.com/problems/validate-binary-search-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,1.30804,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
139,Word Break,Dynamic Programming,42.0%,Medium,3.27345,https://leetcode.com/problems/word-break
146,LRU Cache,Design,36.4%,Medium,18.3999,https://leetcode.com/problems/lru-cache
155,Min Stack,"Stack, Design",46.9%,Easy,8.26692,https://leetcode.com/problems/min-stack
199,Binary Tree Right Side View,"Tree, Depth-first Search, Breadth-first Search, Recursion, Queue",56.7%,Medium,3.89648,https://leetcode.com/problems/binary-tree-right-side-view
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,1.96139,https://leetcode.com/problems/number-of-islands
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,100.0,https://leetcode.com/problems/kth-largest-element-in-an-array
236,Lowest Common Ancestor of a Binary Tree,Tree,49.6%,Medium,2.98654,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,9.59985,https://leetcode.com/problems/meeting-rooms-ii
256,Paint House,Dynamic Programming,54.1%,Medium,28.2278,https://leetcode.com/problems/paint-house
265,Paint House II,Dynamic Programming,46.1%,Hard,49.2048,https://leetcode.com/problems/paint-house-ii
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,2.12861,https://leetcode.com/problems/move-zeroes
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,5.31854,https://leetcode.com/problems/find-median-from-data-stream
297,Serialize and Deserialize Binary Tree,"Tree, Design",50.4%,Hard,11.5486,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
322,Coin Change,Dynamic Programming,37.8%,Medium,44.3851,https://leetcode.com/problems/coin-change
347,Top K Frequent Elements,"Hash Table, Heap",62.7%,Medium,8.50079,https://leetcode.com/problems/top-k-frequent-elements
373,Find K Pairs with Smallest Sums,Heap,38.1%,Medium,20.3268,https://leetcode.com/problems/find-k-pairs-with-smallest-sums
394,Decode String,"Stack, Depth-first Search",53.1%,Medium,13.4094,https://leetcode.com/problems/decode-string
647,Palindromic Substrings,"String, Dynamic Programming",62.8%,Medium,2.46997,https://leetcode.com/problems/palindromic-substrings
785,Is Graph Bipartite?,"Depth-first Search, Breadth-first Search, Graph",48.8%,Medium,9.86097,https://leetcode.com/problems/is-graph-bipartite
953,Verifying an Alien Dictionary,Hash Table,52.5%,Easy,58.4333,https://leetcode.com/problems/verifying-an-alien-dictionary
994,Rotting Oranges,Breadth-first Search,49.7%,Medium,9.57624,https://leetcode.com/problems/rotting-oranges
1221,Split a String in Balanced Strings,"String, Greedy",84.3%,Easy,8.36988,https://leetcode.com/problems/split-a-string-in-balanced-strings
1283,Find the Smallest Divisor Given a Threshold,Binary Search,50.0%,Medium,79.2167,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold
