Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.0487502,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,0.225384,https://leetcode.com/problems/longest-substring-without-repeating-characters
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,0.361324,https://leetcode.com/problems/longest-palindromic-substring
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,0.262164,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",59.9%,Medium,1.13784,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",41.5%,Medium,3.10958,https://leetcode.com/problems/merge-intervals
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,1.29976,https://leetcode.com/problems/maximal-rectangle
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,0.218689,https://leetcode.com/problems/merge-sorted-array
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,0.584153,https://leetcode.com/problems/symmetric-tree
125,Valid Palindrome,"Two Pointers, String",38.6%,Easy,3.01094,https://leetcode.com/problems/valid-palindrome
150,Evaluate Reverse Polish Notation,Stack,38.4%,Medium,1.1103,https://leetcode.com/problems/evaluate-reverse-polish-notation
161,One Edit Distance,String,33.2%,Medium,5.53155,https://leetcode.com/problems/one-edit-distance
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,2.47888,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,1.32921,https://leetcode.com/problems/reverse-linked-list
228,Summary Ranges,Array,42.8%,Easy,14.382,https://leetcode.com/problems/summary-ranges
234,Palindrome Linked List,"Linked List, Two Pointers",42.2%,Easy,0.115669,https://leetcode.com/problems/palindrome-linked-list
238,Product of Array Except Self,Array,61.4%,Medium,0.249782,https://leetcode.com/problems/product-of-array-except-self
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,5.33853,https://leetcode.com/problems/meeting-rooms-ii
279,Perfect Squares,"Math, Dynamic Programming, Breadth-first Search",49.3%,Medium,0.888569,https://leetcode.com/problems/perfect-squares
281,Zigzag Iterator,Design,59.7%,Medium,46.7799,https://leetcode.com/problems/zigzag-iterator
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,2.68772,https://leetcode.com/problems/move-zeroes
356,Line Reflection,"Hash Table, Math",33.1%,Medium,100.0,https://leetcode.com/problems/line-reflection
362,Design Hit Counter,Design,65.6%,Medium,4.60202,https://leetcode.com/problems/design-hit-counter
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,10.002,https://leetcode.com/problems/insert-delete-getrandom-o1
392,Is Subsequence,"Binary Search, Dynamic Programming, Greedy",49.6%,Easy,0.590272,https://leetcode.com/problems/is-subsequence
443,String Compression,String,44.3%,Medium,20.0397,https://leetcode.com/problems/string-compression
487,Max Consecutive Ones II,Two Pointers,48.0%,Medium,19.9125,https://leetcode.com/problems/max-consecutive-ones-ii
560,Subarray Sum Equals K,"Array, Hash Table",43.7%,Medium,6.34221,https://leetcode.com/problems/subarray-sum-equals-k
567,Permutation in String,"Two Pointers, Sliding Window",44.6%,Medium,4.37627,https://leetcode.com/problems/permutation-in-string
849,Maximize Distance to Closest Person,Array,44.6%,Medium,18.779,https://leetcode.com/problems/maximize-distance-to-closest-person
933,Number of Recent Calls,Queue,72.5%,Easy,2.69235,https://leetcode.com/problems/number-of-recent-calls
977,Squares of a Sorted Array,"Array, Two Pointers",71.8%,Easy,0.600875,https://leetcode.com/problems/squares-of-a-sorted-array
1493,Longest Subarray of 1's After Deleting One Element,Array,57.7%,Medium,73.2599,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element
1650,Lowest Common Ancestor of a Binary Tree III,Tree,76.8%,Medium,1.53643,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii
