Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,5.03916,https://leetcode.com/problems/median-of-two-sorted-arrays
8,String to Integer (atoi),"Math, String",15.8%,Medium,3.19866,https://leetcode.com/problems/string-to-integer-atoi
20,Valid Parentheses,"String, Stack",40.0%,Easy,1.46769,https://leetcode.com/problems/valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,5.51488,https://leetcode.com/problems/search-in-rotated-sorted-array
56,Merge Intervals,"Array, Sort",41.5%,Medium,2.06481,https://leetcode.com/problems/merge-intervals
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,8.56804,https://leetcode.com/problems/validate-binary-search-tree
113,Path Sum II,"Tree, Depth-first Search",49.7%,Medium,8.38427,https://leetcode.com/problems/path-sum-ii
127,Word Ladder,Breadth-first Search,32.3%,Hard,13.4245,https://leetcode.com/problems/word-ladder
146,LRU Cache,Design,36.4%,Medium,62.9934,https://leetcode.com/problems/lru-cache
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,2.14327,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,1.55601,https://leetcode.com/problems/reverse-linked-list
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,3.09376,https://leetcode.com/problems/kth-largest-element-in-an-array
223,Rectangle Area,Math,38.4%,Medium,100.0,https://leetcode.com/problems/rectangle-area
236,Lowest Common Ancestor of a Binary Tree,Tree,49.6%,Medium,3.26347,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,2.32599,https://leetcode.com/problems/move-zeroes
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,6.853,https://leetcode.com/problems/insert-delete-getrandom-o1
387,First Unique Character in a String,"Hash Table, String",54.0%,Easy,7.40171,https://leetcode.com/problems/first-unique-character-in-a-string
428,Serialize and Deserialize N-ary Tree,Tree,61.9%,Hard,52.3959,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
487,Max Consecutive Ones II,Two Pointers,48.0%,Medium,78.9384,https://leetcode.com/problems/max-consecutive-ones-ii
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,9.14793,https://leetcode.com/problems/random-pick-with-weight
529,Minesweeper,"Depth-first Search, Breadth-first Search",61.6%,Medium,64.3212,https://leetcode.com/problems/minesweeper
739,Daily Temperatures,"Hash Table, Stack",64.9%,Medium,16.9324,https://leetcode.com/problems/daily-temperatures
1328,Break a Palindrome,String,48.1%,Medium,31.3343,https://leetcode.com/problems/break-a-palindrome
