Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.923007,https://leetcode.com/problems/two-sum
20,Valid Parentheses,"String, Stack",40.0%,Easy,2.65116,https://leetcode.com/problems/valid-parentheses
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,2.20672,https://leetcode.com/problems/trapping-rain-water
73,Set Matrix Zeroes,Array,44.7%,Medium,10.3289,https://leetcode.com/problems/set-matrix-zeroes
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,1.7262,https://leetcode.com/problems/validate-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,2.18875,https://leetcode.com/problems/symmetric-tree
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,2.58194,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
139,Word Break,Dynamic Programming,42.0%,Medium,6.4535,https://leetcode.com/problems/word-break
140,Word Break II,"Dynamic Programming, Backtracking",35.6%,Hard,45.3488,https://leetcode.com/problems/word-break-ii
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,6.86818,https://leetcode.com/problems/number-of-islands
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,5.71346,https://leetcode.com/problems/implement-trie-prefix-tree
244,Shortest Word Distance II,"Hash Table, Design",54.7%,Medium,23.4376,https://leetcode.com/problems/shortest-word-distance-ii
472,Concatenated Words,"Dynamic Programming, Depth-first Search, Trie",43.6%,Hard,18.2288,https://leetcode.com/problems/concatenated-words
545,Boundary of Binary Tree,Tree,40.5%,Medium,100.0,https://leetcode.com/problems/boundary-of-binary-tree
547,Number of Provinces,"Depth-first Search, Union Find",60.9%,Medium,5.59365,https://leetcode.com/problems/number-of-provinces
849,Maximize Distance to Closest Person,Array,44.6%,Medium,72.6744,https://leetcode.com/problems/maximize-distance-to-closest-person
937,Reorder Data in Log Files,String,54.9%,Easy,30.5815,https://leetcode.com/problems/reorder-data-in-log-files
1200,Minimum Absolute Difference,Array,67.1%,Easy,18.667,https://leetcode.com/problems/minimum-absolute-difference
1228,Missing Number In Arithmetic Progression,Math,51.5%,Easy,11.5785,https://leetcode.com/problems/missing-number-in-arithmetic-progression
