Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.179237,https://leetcode.com/problems/3sum
36,Valid Sudoku,Hash Table,51.0%,Medium,1.63312,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,14.8294,https://leetcode.com/problems/sudoku-solver
56,Merge Intervals,"Array, Sort",41.5%,Medium,0.583316,https://leetcode.com/problems/merge-intervals
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,1.02875,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
146,LRU Cache,Design,36.4%,Medium,0.330747,https://leetcode.com/problems/lru-cache
163,Missing Ranges,Array,27.6%,Easy,0.823147,https://leetcode.com/problems/missing-ranges
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,1.53517,https://leetcode.com/problems/number-of-islands
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",44.3%,Medium,0.182731,https://leetcode.com/problems/course-schedule
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,24.2528,https://leetcode.com/problems/course-schedule-ii
227,Basic Calculator II,"String, Stack",38.9%,Medium,0.399821,https://leetcode.com/problems/basic-calculator-ii
329,Longest Increasing Path in a Matrix,"Depth-first Search, Topological Sort, Memoization",46.4%,Hard,0.758472,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
355,Design Twitter,"Hash Table, Heap, Design",31.7%,Medium,13.9168,https://leetcode.com/problems/design-twitter
695,Max Area of Island,"Array, Depth-first Search",65.3%,Medium,71.5627,https://leetcode.com/problems/max-area-of-island
759,Employee Free Time,"Heap, Greedy",68.6%,Hard,86.231,https://leetcode.com/problems/employee-free-time
795,Number of Subarrays with Bounded Maximum,Array,48.0%,Medium,2.77922,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum
973,K Closest Points to Origin,"Divide and Conquer, Heap, Sort",64.7%,Medium,3.0443,https://leetcode.com/problems/k-closest-points-to-origin
1152,Analyze User Website Visit Pattern,"Array, Hash Table, Sort",43.1%,Medium,2.68965,https://leetcode.com/problems/analyze-user-website-visit-pattern
1173,Immediate Food Delivery I,,82.8%,Easy,4.17609,https://leetcode.com/problems/immediate-food-delivery-i
1174,Immediate Food Delivery II,,62.3%,Medium,17.058,https://leetcode.com/problems/immediate-food-delivery-ii
1197,Minimum Knight Moves,Breadth-first Search,37.6%,Medium,8.59404,https://leetcode.com/problems/minimum-knight-moves
1229,Meeting Scheduler,"Two Pointers, Sort, Line Sweep",54.4%,Medium,47.9078,https://leetcode.com/problems/meeting-scheduler
1235,Maximum Profit in Job Scheduling,"Binary Search, Dynamic Programming, Sort",47.8%,Hard,7.50051,https://leetcode.com/problems/maximum-profit-in-job-scheduling
1359,Count All Valid Pickup and Delivery Options,"Math, Dynamic Programming",55.9%,Hard,100.0,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options
1383,Maximum Performance of a Team,"Greedy, Sort",36.1%,Hard,92.0501,https://leetcode.com/problems/maximum-performance-of-a-team
1472,Design Browser History,Design,72.2%,Medium,19.491,https://leetcode.com/problems/design-browser-history
