Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.0897973,https://leetcode.com/problems/letter-combinations-of-a-phone-number
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,0.0818379,https://leetcode.com/problems/implement-strstr
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,0.144191,https://leetcode.com/problems/minimum-path-sum
146,LRU Cache,Design,36.4%,Medium,5.50187,https://leetcode.com/problems/lru-cache
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,4.83475,https://leetcode.com/problems/sliding-window-maximum
289,Game of Life,Array,59.0%,Medium,74.5611,https://leetcode.com/problems/game-of-life
362,Design Hit Counter,Design,65.6%,Medium,2.18301,https://leetcode.com/problems/design-hit-counter
379,Design Phone Directory,"Linked List, Design",48.6%,Medium,41.1459,https://leetcode.com/problems/design-phone-directory
547,Number of Provinces,"Depth-first Search, Union Find",60.9%,Medium,8.68641,https://leetcode.com/problems/number-of-provinces
609,Find Duplicate File in System,"Hash Table, String",61.3%,Medium,100.0,https://leetcode.com/problems/find-duplicate-file-in-system
642,Design Search Autocomplete System,"Design, Trie",46.6%,Hard,7.74426,https://leetcode.com/problems/design-search-autocomplete-system
1001,Grid Illumination,Hash Table,36.0%,Hard,27.0929,https://leetcode.com/problems/grid-illumination
1010,Pairs of Songs With Total Durations Divisible by 60,Array,50.8%,Medium,0.620298,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1178,Number of Valid Words for Each Puzzle,"Hash Table, Bit Manipulation",39.8%,Hard,66.5849,https://leetcode.com/problems/number-of-valid-words-for-each-puzzle
1242,Web Crawler Multithreaded,"Depth-first Search, Breadth-first Search",47.8%,Medium,38.4251,https://leetcode.com/problems/web-crawler-multithreaded
