Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,2.19112,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,1.1237,https://leetcode.com/problems/longest-substring-without-repeating-characters
31,Next Permutation,Array,33.9%,Medium,4.53395,https://leetcode.com/problems/next-permutation
168,Excel Sheet Column Title,Math,32.0%,Easy,100.0,https://leetcode.com/problems/excel-sheet-column-title
171,Excel Sheet Column Number,Math,57.2%,Easy,11.3163,https://leetcode.com/problems/excel-sheet-column-number
221,Maximal Square,Dynamic Programming,39.7%,Medium,8.14928,https://leetcode.com/problems/maximal-square
453,Minimum Moves to Equal Array Elements,Math,51.0%,Easy,64.4896,https://leetcode.com/problems/minimum-moves-to-equal-array-elements
881,Boats to Save People,"Two Pointers, Greedy",49.1%,Medium,69.9383,https://leetcode.com/problems/boats-to-save-people
968,Binary Tree Cameras,"Dynamic Programming, Tree, Depth-first Search",39.0%,Hard,41.5844,https://leetcode.com/problems/binary-tree-cameras
1010,Pairs of Songs With Total Durations Divisible by 60,Array,50.8%,Medium,11.5228,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
