Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,4.64126,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
56,Merge Intervals,"Array, Sort",41.5%,Medium,1.2495,https://leetcode.com/problems/merge-intervals
68,Text Justification,String,30.4%,Hard,8.78121,https://leetcode.com/problems/text-justification
155,Min Stack,"Stack, Design",46.9%,Easy,5.46652,https://leetcode.com/problems/min-stack
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,2.82887,https://leetcode.com/problems/meeting-rooms-ii
273,Integer to English Words,"Math, String",28.4%,Hard,14.4076,https://leetcode.com/problems/integer-to-english-words
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,3.5169,https://leetcode.com/problems/find-median-from-data-stream
362,Design Hit Counter,Design,65.6%,Medium,13.1261,https://leetcode.com/problems/design-hit-counter
927,Three Equal Parts,"Math, Binary Search, Greedy",34.6%,Hard,100.0,https://leetcode.com/problems/three-equal-parts
981,Time Based Key-Value Store,"Hash Table, Binary Search",54.3%,Medium,68.3313,https://leetcode.com/problems/time-based-key-value-store
1142,User Activity for the Past 30 Days II,,35.4%,Easy,36.6625,https://leetcode.com/problems/user-activity-for-the-past-30-days-ii
