Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
36,Valid Sudoku,Hash Table,51.0%,Medium,0.847205,https://leetcode.com/problems/valid-sudoku
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,7.14888,https://leetcode.com/problems/sudoku-solver
68,Text Justification,String,30.4%,Hard,12.7341,https://leetcode.com/problems/text-justification
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,0.6878,https://leetcode.com/problems/minimum-window-substring
79,Word Search,"Array, Backtracking",37.3%,Medium,5.3719,https://leetcode.com/problems/word-search
126,Word Ladder II,"Array, String, Backtracking, Breadth-first Search",23.9%,Hard,4.4501,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Breadth-first Search,32.3%,Hard,0.869599,https://leetcode.com/problems/word-ladder
139,Word Break,Dynamic Programming,42.0%,Medium,0.519555,https://leetcode.com/problems/word-break
146,LRU Cache,Design,36.4%,Medium,1.05757,https://leetcode.com/problems/lru-cache
202,Happy Number,"Hash Table, Math",51.4%,Easy,0.886439,https://leetcode.com/problems/happy-number
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,9.06092,https://leetcode.com/problems/implement-trie-prefix-tree
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,1.69442,https://leetcode.com/problems/course-schedule-ii
269,Alien Dictionary,"Graph, Topological Sort",33.8%,Hard,30.1106,https://leetcode.com/problems/alien-dictionary
277,Find the Celebrity,Array,44.2%,Medium,20.1586,https://leetcode.com/problems/find-the-celebrity
362,Design Hit Counter,Design,65.6%,Medium,34.8403,https://leetcode.com/problems/design-hit-counter
373,Find K Pairs with Smallest Sums,Heap,38.1%,Medium,3.22623,https://leetcode.com/problems/find-k-pairs-with-smallest-sums
621,Task Scheduler,"Array, Greedy, Queue",52.4%,Medium,10.2304,https://leetcode.com/problems/task-scheduler
698,Partition to K Equal Sum Subsets,"Dynamic Programming, Recursion",45.5%,Medium,2.18955,https://leetcode.com/problems/partition-to-k-equal-sum-subsets
726,Number of Atoms,"Hash Table, Stack, Recursion",51.0%,Hard,7.56642,https://leetcode.com/problems/number-of-atoms
759,Employee Free Time,"Heap, Greedy",68.6%,Hard,100.0,https://leetcode.com/problems/employee-free-time
811,Subdomain Visit Count,Hash Table,71.8%,Easy,67.4201,https://leetcode.com/problems/subdomain-visit-count
836,Rectangle Overlap,Math,43.5%,Easy,2.63423,https://leetcode.com/problems/rectangle-overlap
986,Interval List Intersections,Two Pointers,68.6%,Medium,1.46154,https://leetcode.com/problems/interval-list-intersections
1306,Jump Game III,"Depth-first Search, Breadth-first Search, Recursion",62.2%,Medium,3.01957,https://leetcode.com/problems/jump-game-iii
