Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
13,Roman to Integer,"Math, String",57.1%,Easy,8.76228,https://leetcode.com/problems/roman-to-integer
15,3Sum,"Array, Two Pointers",28.3%,Medium,4.6303,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,2.60893,https://leetcode.com/problems/letter-combinations-of-a-phone-number
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,33.9709,https://leetcode.com/problems/trapping-rain-water
56,Merge Intervals,"Array, Sort",41.5%,Medium,5.44232,https://leetcode.com/problems/merge-intervals
62,Unique Paths,"Array, Dynamic Programming",56.4%,Medium,1.64846,https://leetcode.com/problems/unique-paths
69,Sqrt(x),"Math, Binary Search",35.5%,Easy,1.44878,https://leetcode.com/problems/sqrtx
71,Simplify Path,"String, Stack",35.0%,Medium,5.44026,https://leetcode.com/problems/simplify-path
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,5.66138,https://leetcode.com/problems/validate-binary-search-tree
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,74.9561,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
119,Pascal's Triangle II,Array,52.7%,Easy,16.4071,https://leetcode.com/problems/pascals-triangle-ii
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,3.77311,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,"Array, Greedy",58.9%,Easy,1.27096,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
127,Word Ladder,Breadth-first Search,32.3%,Hard,100.0,https://leetcode.com/problems/word-ladder
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,12.5691,https://leetcode.com/problems/longest-consecutive-sequence
131,Palindrome Partitioning,"Dynamic Programming, Backtracking, Depth-first Search",52.8%,Medium,4.43813,https://leetcode.com/problems/palindrome-partitioning
133,Clone Graph,"Depth-first Search, Breadth-first Search, Graph",40.1%,Medium,9.71772,https://leetcode.com/problems/clone-graph
138,Copy List with Random Pointer,"Hash Table, Linked List",41.7%,Medium,25.9382,https://leetcode.com/problems/copy-list-with-random-pointer
139,Word Break,Dynamic Programming,42.0%,Medium,60.0654,https://leetcode.com/problems/word-break
173,Binary Search Tree Iterator,"Stack, Tree, Design",60.8%,Medium,13.5884,https://leetcode.com/problems/binary-search-tree-iterator
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,22.1883,https://leetcode.com/problems/number-of-islands
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,11.9381,https://leetcode.com/problems/implement-trie-prefix-tree
213,House Robber II,Dynamic Programming,37.7%,Medium,4.59754,https://leetcode.com/problems/house-robber-ii
228,Summary Ranges,Array,42.8%,Easy,16.812,https://leetcode.com/problems/summary-ranges
238,Product of Array Except Self,Array,61.4%,Medium,6.8878,https://leetcode.com/problems/product-of-array-except-self
