Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",28.3%,Medium,5.30693,https://leetcode.com/problems/3sum
31,Next Permutation,Array,33.9%,Medium,22.6914,https://leetcode.com/problems/next-permutation
48,Rotate Image,Array,61.1%,Medium,20.4181,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,4.02448,https://leetcode.com/problems/group-anagrams
51,N-Queens,Backtracking,50.4%,Hard,16.603,https://leetcode.com/problems/n-queens
157,Read N Characters Given Read4,String,37.8%,Easy,30.0122,https://leetcode.com/problems/read-n-characters-given-read4
166,Fraction to Recurring Decimal,"Hash Table, Math",22.5%,Medium,100.0,https://leetcode.com/problems/fraction-to-recurring-decimal
169,Majority Element,"Array, Divide and Conquer, Bit Manipulation",60.3%,Easy,10.8016,https://leetcode.com/problems/majority-element
621,Task Scheduler,"Array, Greedy, Queue",52.4%,Medium,86.2126,https://leetcode.com/problems/task-scheduler
622,Design Circular Queue,"Design, Queue",47.7%,Medium,8.209,https://leetcode.com/problems/design-circular-queue
652,Find Duplicate Subtrees,Tree,53.2%,Medium,22.8756,https://leetcode.com/problems/find-duplicate-subtrees
721,Accounts Merge,"Depth-first Search, Union Find",52.5%,Medium,12.9982,https://leetcode.com/problems/accounts-merge
1146,Snapshot Array,Array,36.9%,Medium,88.2774,https://leetcode.com/problems/snapshot-array
1188,Design Bounded Blocking Queue,,73.1%,Medium,58.1124,https://leetcode.com/problems/design-bounded-blocking-queue
