Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
14,Longest Common Prefix,String,36.3%,Easy,2.02544,https://leetcode.com/problems/longest-common-prefix
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.348249,https://leetcode.com/problems/letter-combinations-of-a-phone-number
24,Swap Nodes in Pairs,"Linked List, Recursion",53.7%,Medium,1.08213,https://leetcode.com/problems/swap-nodes-in-pairs
25,Reverse Nodes in k-Group,Linked List,45.6%,Hard,1.75331,https://leetcode.com/problems/reverse-nodes-in-k-group
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.771247,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
39,Combination Sum,"Array, Backtracking",59.9%,Medium,2.11564,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,2.47131,https://leetcode.com/problems/trapping-rain-water
44,Wildcard Matching,"String, Dynamic Programming, Backtracking, Greedy",25.6%,Hard,2.26641,https://leetcode.com/problems/wildcard-matching
46,Permutations,Backtracking,67.3%,Medium,0.776553,https://leetcode.com/problems/permutations
47,Permutations II,Backtracking,50.0%,Medium,1.74521,https://leetcode.com/problems/permutations-ii
49,Group Anagrams,"Hash Table, String",59.9%,Medium,0.675676,https://leetcode.com/problems/group-anagrams
54,Spiral Matrix,Array,36.7%,Medium,1.03024,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,2.89968,https://leetcode.com/problems/merge-intervals
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,1.25708,https://leetcode.com/problems/minimum-path-sum
67,Add Binary,"Math, String",47.4%,Easy,1.01965,https://leetcode.com/problems/add-binary
68,Text Justification,String,30.4%,Hard,3.27675,https://leetcode.com/problems/text-justification
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,4.24947,https://leetcode.com/problems/minimum-window-substring
79,Word Search,"Array, Backtracking",37.3%,Medium,48.0661,https://leetcode.com/problems/word-search
83,Remove Duplicates from Sorted List,Linked List,46.7%,Easy,1.06465,https://leetcode.com/problems/remove-duplicates-from-sorted-list
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,4.04302,https://leetcode.com/problems/decode-ways
