Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.800997,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,0.70371,https://leetcode.com/problems/letter-combinations-of-a-phone-number
39,Combination Sum,"Array, Backtracking",59.9%,Medium,4.27509,https://leetcode.com/problems/combination-sum
43,Multiply Strings,"Math, String",35.2%,Medium,13.2212,https://leetcode.com/problems/multiply-strings
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,0.712886,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",41.5%,Medium,2.11736,https://leetcode.com/problems/merge-intervals
68,Text Justification,String,30.4%,Hard,6.62135,https://leetcode.com/problems/text-justification
72,Edit Distance,"String, Dynamic Programming",47.2%,Hard,73.624,https://leetcode.com/problems/edit-distance
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,12.7068,https://leetcode.com/problems/decode-ways
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, Depth-first Search",52.6%,Medium,2.33321,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
122,Best Time to Buy and Sell Stock II,"Array, Greedy",58.9%,Easy,1.36836,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
139,Word Break,Dynamic Programming,42.0%,Medium,1.63217,https://leetcode.com/problems/word-break
165,Compare Version Numbers,String,30.7%,Medium,19.8731,https://leetcode.com/problems/compare-version-numbers
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,0.977966,https://leetcode.com/problems/number-of-islands
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,3.2446,https://leetcode.com/problems/implement-trie-prefix-tree
271,Encode and Decode Strings,String,33.2%,Medium,47.7385,https://leetcode.com/problems/encode-and-decode-strings
273,Integer to English Words,"Math, String",28.4%,Hard,72.5354,https://leetcode.com/problems/integer-to-english-words
289,Game of Life,Array,59.0%,Medium,12.8827,https://leetcode.com/problems/game-of-life
297,Serialize and Deserialize Binary Tree,"Tree, Design",50.4%,Hard,2.56747,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,4.95978,https://leetcode.com/problems/reconstruct-itinerary
336,Palindrome Pairs,"Hash Table, String, Trie",35.0%,Hard,100.0,https://leetcode.com/problems/palindrome-pairs
359,Logger Rate Limiter,"Hash Table, Design",72.7%,Easy,5.70561,https://leetcode.com/problems/logger-rate-limiter
388,Longest Absolute File Path,,43.3%,Medium,62.5833,https://leetcode.com/problems/longest-absolute-file-path
415,Add Strings,String,48.6%,Easy,18.3271,https://leetcode.com/problems/add-strings
815,Bus Routes,Breadth-first Search,43.6%,Hard,48.4645,https://leetcode.com/problems/bus-routes
969,Pancake Sorting,"Array, Sort",68.8%,Medium,42.4273,https://leetcode.com/problems/pancake-sorting
999,Available Captures for Rook,Array,67.7%,Easy,77.4457,https://leetcode.com/problems/available-captures-for-rook
1336,Number of Transactions per Visit,,49.4%,Hard,56.2753,https://leetcode.com/problems/number-of-transactions-per-visit
