Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.0316985,https://leetcode.com/problems/two-sum
14,Longest Common Prefix,String,36.3%,Easy,0.139615,https://leetcode.com/problems/longest-common-prefix
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,3.93049,https://leetcode.com/problems/letter-combinations-of-a-phone-number
49,Group Anagrams,"Hash Table, String",59.9%,Medium,1.15248,https://leetcode.com/problems/group-anagrams
68,Text Justification,String,30.4%,Hard,61.9388,https://leetcode.com/problems/text-justification
146,LRU Cache,Design,36.4%,Medium,22.4624,https://leetcode.com/problems/lru-cache
210,Course Schedule II,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",43.1%,Medium,0.32277,https://leetcode.com/problems/course-schedule-ii
221,Maximal Square,Dynamic Programming,39.7%,Medium,0.471169,https://leetcode.com/problems/maximal-square
225,Implement Stack using Queues,"Stack, Design",48.0%,Easy,1.99472,https://leetcode.com/problems/implement-stack-using-queues
232,Implement Queue using Stacks,"Stack, Design",52.9%,Easy,0.598125,https://leetcode.com/problems/implement-queue-using-stacks
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,0.350198,https://leetcode.com/problems/sliding-window-maximum
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,0.360728,https://leetcode.com/problems/find-median-from-data-stream
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,23.8777,https://leetcode.com/problems/reconstruct-itinerary
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,0.425359,https://leetcode.com/problems/insert-delete-getrandom-o1
532,K-diff Pairs in an Array,"Array, Two Pointers",35.6%,Medium,1.19336,https://leetcode.com/problems/k-diff-pairs-in-an-array
560,Subarray Sum Equals K,"Array, Hash Table",43.7%,Medium,1.29989,https://leetcode.com/problems/subarray-sum-equals-k
707,Design Linked List,"Linked List, Design",26.1%,Medium,0.618547,https://leetcode.com/problems/design-linked-list
935,Knight Dialer,Dynamic Programming,46.8%,Medium,18.7645,https://leetcode.com/problems/knight-dialer
974,Subarray Sums Divisible by K,"Array, Hash Table",51.1%,Medium,100.0,https://leetcode.com/problems/subarray-sums-divisible-by-k
1636,Sort Array by Increasing Frequency,"Array, Sort",67.0%,Easy,3.13445,https://leetcode.com/problems/sort-array-by-increasing-frequency
