Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,2.70247,https://leetcode.com/problems/search-in-rotated-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,3.02384,https://leetcode.com/problems/trapping-rain-water
54,Spiral Matrix,Array,36.7%,Medium,5.02334,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,5.1091,https://leetcode.com/problems/merge-intervals
65,Valid Number,"Math, String",16.1%,Hard,40.7203,https://leetcode.com/problems/valid-number
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,9.41137,https://leetcode.com/problems/number-of-islands
419,Battleships in a Board,,71.3%,Medium,29.9468,https://leetcode.com/problems/battleships-in-a-board
460,LFU Cache,Design,36.6%,Hard,18.5739,https://leetcode.com/problems/lfu-cache
695,Max Area of Island,"Array, Depth-first Search",65.3%,Medium,79.7468,https://leetcode.com/problems/max-area-of-island
723,Candy Crush,"Array, Two Pointers",73.2%,Medium,59.4935,https://leetcode.com/problems/candy-crush
767,Reorganize String,"String, Heap, Greedy, Sort",50.3%,Medium,13.1186,https://leetcode.com/problems/reorganize-string
828,Count Unique Characters of All Substrings of a Given String,Two Pointers,46.9%,Hard,100.0,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string
841,Keys and Rooms,"Depth-first Search, Graph",66.5%,Medium,18.9938,https://leetcode.com/problems/keys-and-rooms
977,Squares of a Sorted Array,"Array, Two Pointers",71.8%,Easy,6.93057,https://leetcode.com/problems/squares-of-a-sorted-array
1136,Parallel Courses,"Dynamic Programming, Depth-first Search, Graph",61.1%,Medium,15.1913,https://leetcode.com/problems/parallel-courses
