Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,1.00441,https://leetcode.com/problems/two-sum
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,1.58767,https://leetcode.com/problems/median-of-two-sorted-arrays
15,3Sum,"Array, Two Pointers",28.3%,Medium,2.20697,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",40.0%,Easy,1.84594,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,1.04955,https://leetcode.com/problems/merge-k-sorted-lists
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,1.0761,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,10.4522,https://leetcode.com/problems/trapping-rain-water
54,Spiral Matrix,Array,36.7%,Medium,5.71403,https://leetcode.com/problems/spiral-matrix
56,Merge Intervals,"Array, Sort",41.5%,Medium,0.650552,https://leetcode.com/problems/merge-intervals
76,Minimum Window Substring,"Hash Table, Two Pointers, String, Sliding Window",36.3%,Hard,5.92915,https://leetcode.com/problems/minimum-window-substring
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,1.62192,https://leetcode.com/problems/merge-sorted-array
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,4.20867,https://leetcode.com/problems/validate-binary-search-tree
102,Binary Tree Level Order Traversal,"Tree, Breadth-first Search",57.1%,Medium,0.867266,https://leetcode.com/problems/binary-tree-level-order-traversal
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,4.03187,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
141,Linked List Cycle,"Linked List, Two Pointers",43.2%,Easy,0.801329,https://leetcode.com/problems/linked-list-cycle
189,Rotate Array,Array,36.8%,Medium,1.24722,https://leetcode.com/problems/rotate-array
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,0.675271,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,1.10207,https://leetcode.com/problems/reverse-linked-list
236,Lowest Common Ancestor of a Binary Tree,Tree,49.6%,Medium,1.02821,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
238,Product of Array Except Self,Array,61.4%,Medium,0.824424,https://leetcode.com/problems/product-of-array-except-self
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,1.47285,https://leetcode.com/problems/meeting-rooms-ii
273,Integer to English Words,"Math, String",28.4%,Hard,3.35423,https://leetcode.com/problems/integer-to-english-words
362,Design Hit Counter,Design,65.6%,Medium,15.1894,https://leetcode.com/problems/design-hit-counter
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,2.15915,https://leetcode.com/problems/insert-delete-getrandom-o1
383,Ransom Note,String,53.5%,Easy,36.1016,https://leetcode.com/problems/ransom-note
498,Diagonal Traverse,,50.6%,Medium,26.0867,https://leetcode.com/problems/diagonal-traverse
761,Special Binary String,"String, Recursion",58.8%,Hard,77.744,https://leetcode.com/problems/special-binary-string
829,Consecutive Numbers Sum,Math,39.2%,Hard,100.0,https://leetcode.com/problems/consecutive-numbers-sum
921,Minimum Add to Make Parentheses Valid,"Stack, Greedy",75.0%,Medium,10.8372,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid
973,K Closest Points to Origin,"Divide and Conquer, Heap, Sort",64.7%,Medium,1.35851,https://leetcode.com/problems/k-closest-points-to-origin
1010,Pairs of Songs With Total Durations Divisible by 60,Array,50.8%,Medium,7.54542,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1071,Greatest Common Divisor of Strings,String,51.8%,Easy,16.0515,https://leetcode.com/problems/greatest-common-divisor-of-strings
1163,Last Substring in Lexicographical Order,"String, Suffix Array",36.2%,Hard,20.6728,https://leetcode.com/problems/last-substring-in-lexicographical-order
1353,Maximum Number of Events That Can Be Attended,"Greedy, Sort, Segment Tree",30.6%,Medium,58.3576,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended
1424,Diagonal Traverse II,"Array, Sort",46.4%,Medium,17.6383,https://leetcode.com/problems/diagonal-traverse-ii
