Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,1.27483,https://leetcode.com/problems/median-of-two-sorted-arrays
6,ZigZag Conversion,String,38.4%,Medium,3.52931,https://leetcode.com/problems/zigzag-conversion
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,0.944842,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,2.09444,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,16.8383,https://leetcode.com/problems/merge-k-sorted-lists
37,Sudoku Solver,"Hash Table, Backtracking",47.3%,Hard,7.11453,https://leetcode.com/problems/sudoku-solver
41,First Missing Positive,Array,34.1%,Hard,24.3286,https://leetcode.com/problems/first-missing-positive
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,6.22156,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",59.9%,Medium,6.7762,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",41.5%,Medium,4.68191,https://leetcode.com/problems/merge-intervals
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,3.16472,https://leetcode.com/problems/minimum-path-sum
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,2.92646,https://leetcode.com/problems/merge-sorted-array
96,Unique Binary Search Trees,"Dynamic Programming, Tree",54.8%,Medium,14.2711,https://leetcode.com/problems/unique-binary-search-trees
112,Path Sum,"Tree, Depth-first Search",42.7%,Easy,2.43454,https://leetcode.com/problems/path-sum
125,Valid Palindrome,"Two Pointers, String",38.6%,Easy,1.48342,https://leetcode.com/problems/valid-palindrome
128,Longest Consecutive Sequence,"Array, Union Find",46.6%,Hard,4.25815,https://leetcode.com/problems/longest-consecutive-sequence
146,LRU Cache,Design,36.4%,Medium,7.33947,https://leetcode.com/problems/lru-cache
153,Find Minimum in Rotated Sorted Array,"Array, Binary Search",46.5%,Medium,6.13912,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
154,Find Minimum in Rotated Sorted Array II,"Array, Binary Search",42.2%,Hard,7.93678,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii
155,Min Stack,"Stack, Design",46.9%,Easy,2.28766,https://leetcode.com/problems/min-stack
172,Factorial Trailing Zeroes,Math,38.8%,Easy,6.47537,https://leetcode.com/problems/factorial-trailing-zeroes
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,7.57595,https://leetcode.com/problems/number-of-islands
207,Course Schedule,"Depth-first Search, Breadth-first Search, Graph, Topological Sort",44.3%,Medium,9.09693,https://leetcode.com/problems/course-schedule
209,Minimum Size Subarray Sum,"Array, Two Pointers, Binary Search",39.9%,Medium,3.97729,https://leetcode.com/problems/minimum-size-subarray-sum
224,Basic Calculator,"Math, Stack",38.3%,Hard,6.48046,https://leetcode.com/problems/basic-calculator
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,7.19343,https://leetcode.com/problems/sliding-window-maximum
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,2.6575,https://leetcode.com/problems/meeting-rooms-ii
282,Expression Add Operators,Divide and Conquer,37.0%,Hard,14.6816,https://leetcode.com/problems/expression-add-operators
287,Find the Duplicate Number,"Array, Two Pointers, Binary Search",58.0%,Medium,2.00249,https://leetcode.com/problems/find-the-duplicate-number
311,Sparse Matrix Multiplication,Hash Table,64.2%,Medium,72.5307,https://leetcode.com/problems/sparse-matrix-multiplication
314,Binary Tree Vertical Order Traversal,"Depth-first Search, Breadth-first Search",47.4%,Medium,9.53828,https://leetcode.com/problems/binary-tree-vertical-order-traversal
340,Longest Substring with At Most K Distinct Characters,"Hash Table, Two Pointers, String, Sliding Window",45.8%,Medium,24.3126,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
377,Combination Sum IV,Dynamic Programming,47.1%,Medium,1.76616,https://leetcode.com/problems/combination-sum-iv
381,Insert Delete GetRandom O(1) - Duplicates allowed,"Array, Hash Table, Design",35.0%,Hard,17.3018,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
388,Longest Absolute File Path,,43.3%,Medium,45.0614,https://leetcode.com/problems/longest-absolute-file-path
403,Frog Jump,Dynamic Programming,41.8%,Hard,13.4222,https://leetcode.com/problems/frog-jump
424,Longest Repeating Character Replacement,"Two Pointers, Sliding Window",48.5%,Medium,16.837,https://leetcode.com/problems/longest-repeating-character-replacement
528,Random Pick with Weight,"Binary Search, Random",44.8%,Medium,11.64,https://leetcode.com/problems/random-pick-with-weight
560,Subarray Sum Equals K,"Array, Hash Table",43.7%,Medium,4.31246,https://leetcode.com/problems/subarray-sum-equals-k
616,Add Bold Tag in String,String,45.0%,Medium,29.2285,https://leetcode.com/problems/add-bold-tag-in-string
680,Valid Palindrome II,String,37.2%,Easy,2.99271,https://leetcode.com/problems/valid-palindrome-ii
695,Max Area of Island,"Array, Depth-first Search",65.3%,Medium,13.7488,https://leetcode.com/problems/max-area-of-island
729,My Calendar I,Array,53.7%,Medium,9.4725,https://leetcode.com/problems/my-calendar-i
767,Reorganize String,"String, Heap, Greedy, Sort",50.3%,Medium,26.6594,https://leetcode.com/problems/reorganize-string
845,Longest Mountain in Array,Two Pointers,38.7%,Medium,100.0,https://leetcode.com/problems/longest-mountain-in-array
900,RLE Iterator,Array,55.8%,Medium,25.2566,https://leetcode.com/problems/rle-iterator
1129,Shortest Path with Alternating Colors,"Breadth-first Search, Graph",40.5%,Medium,35.7364,https://leetcode.com/problems/shortest-path-with-alternating-colors
