Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,100.0,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,46.8309,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,4.53845,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,6.19998,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,2.62434,https://leetcode.com/problems/longest-palindromic-substring
7,Reverse Integer,Math,26.0%,Easy,3.4972,https://leetcode.com/problems/reverse-integer
9,Palindrome Number,Math,50.2%,Easy,1.33889,https://leetcode.com/problems/palindrome-number
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,25.091,https://leetcode.com/problems/container-with-most-water
12,Integer to Roman,"Math, String",57.2%,Medium,9.61899,https://leetcode.com/problems/integer-to-roman
13,Roman to Integer,"Math, String",57.1%,Easy,14.3342,https://leetcode.com/problems/roman-to-integer
14,Longest Common Prefix,String,36.3%,Easy,3.50441,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,7.5747,https://leetcode.com/problems/3sum
17,Letter Combinations of a Phone Number,"String, Backtracking, Depth-first Search, Recursion",50.0%,Medium,1.06925,https://leetcode.com/problems/letter-combinations-of-a-phone-number
20,Valid Parentheses,"String, Stack",40.0%,Easy,6.33745,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,10.3081,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,5.73524,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,14.3203,https://leetcode.com/problems/merge-k-sorted-lists
28,Implement strStr(),"Two Pointers, String",35.4%,Easy,4.92001,https://leetcode.com/problems/implement-strstr
32,Longest Valid Parentheses,"String, Dynamic Programming",29.9%,Hard,1.32489,https://leetcode.com/problems/longest-valid-parentheses
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,3.82359,https://leetcode.com/problems/search-in-rotated-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,7.58783,https://leetcode.com/problems/trapping-rain-water
46,Permutations,Backtracking,67.3%,Medium,5.35412,https://leetcode.com/problems/permutations
49,Group Anagrams,"Hash Table, String",59.9%,Medium,4.6598,https://leetcode.com/problems/group-anagrams
53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",47.9%,Easy,2.43501,https://leetcode.com/problems/maximum-subarray
56,Merge Intervals,"Array, Sort",41.5%,Medium,8.90308,https://leetcode.com/problems/merge-intervals
60,Permutation Sequence,"Math, Backtracking",39.7%,Hard,16.7797,https://leetcode.com/problems/permutation-sequence
61,Rotate List,"Linked List, Two Pointers",32.0%,Medium,5.00615,https://leetcode.com/problems/rotate-list
67,Add Binary,"Math, String",47.4%,Easy,3.13072,https://leetcode.com/problems/add-binary
72,Edit Distance,"String, Dynamic Programming",47.2%,Hard,5.93194,https://leetcode.com/problems/edit-distance
75,Sort Colors,"Array, Two Pointers, Sort",50.0%,Medium,11.1151,https://leetcode.com/problems/sort-colors
77,Combinations,Backtracking,58.2%,Medium,6.70196,https://leetcode.com/problems/combinations
