Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.912928,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,0.684189,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,0.834765,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,0.198856,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,0.595908,https://leetcode.com/problems/longest-palindromic-substring
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,0.294822,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,2.06157,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,1.79009,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,5.09888,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,1.83155,https://leetcode.com/problems/merge-k-sorted-lists
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,0.489034,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.680118,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,0.970478,https://leetcode.com/problems/trapping-rain-water
48,Rotate Image,Array,61.1%,Medium,0.338311,https://leetcode.com/problems/rotate-image
49,Group Anagrams,"Hash Table, String",59.9%,Medium,7.71999,https://leetcode.com/problems/group-anagrams
56,Merge Intervals,"Array, Sort",41.5%,Medium,6.38182,https://leetcode.com/problems/merge-intervals
59,Spiral Matrix II,Array,58.3%,Medium,5.34265,https://leetcode.com/problems/spiral-matrix-ii
71,Simplify Path,"String, Stack",35.0%,Medium,2.54246,https://leetcode.com/problems/simplify-path
85,Maximal Rectangle,"Array, Hash Table, Dynamic Programming, Stack",39.8%,Hard,1.20741,https://leetcode.com/problems/maximal-rectangle
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,3.20013,https://leetcode.com/problems/merge-sorted-array
98,Validate Binary Search Tree,"Tree, Depth-first Search, Recursion",29.0%,Medium,3.00382,https://leetcode.com/problems/validate-binary-search-tree
101,Symmetric Tree,"Tree, Depth-first Search, Breadth-first Search",48.6%,Easy,2.1525,https://leetcode.com/problems/symmetric-tree
125,Valid Palindrome,"Two Pointers, String",38.6%,Easy,13.7917,https://leetcode.com/problems/valid-palindrome
146,LRU Cache,Design,36.4%,Medium,4.50005,https://leetcode.com/problems/lru-cache
150,Evaluate Reverse Polish Notation,Stack,38.4%,Medium,2.30535,https://leetcode.com/problems/evaluate-reverse-polish-notation
161,One Edit Distance,String,33.2%,Medium,8.954,https://leetcode.com/problems/one-edit-distance
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,2.99682,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,4.84693,https://leetcode.com/problems/reverse-linked-list
228,Summary Ranges,Array,42.8%,Easy,22.6057,https://leetcode.com/problems/summary-ranges
232,Implement Queue using Stacks,"Stack, Design",52.9%,Easy,0.854516,https://leetcode.com/problems/implement-queue-using-stacks
234,Palindrome Linked List,"Linked List, Two Pointers",42.2%,Easy,0.107451,https://leetcode.com/problems/palindrome-linked-list
238,Product of Array Except Self,Array,61.4%,Medium,0.232034,https://leetcode.com/problems/product-of-array-except-self
253,Meeting Rooms II,"Heap, Greedy, Sort",47.2%,Medium,4.95921,https://leetcode.com/problems/meeting-rooms-ii
268,Missing Number,"Array, Math, Bit Manipulation",55.4%,Easy,0.312792,https://leetcode.com/problems/missing-number
279,Perfect Squares,"Math, Dynamic Programming, Breadth-first Search",49.3%,Medium,0.825434,https://leetcode.com/problems/perfect-squares
281,Zigzag Iterator,Design,59.7%,Medium,57.7363,https://leetcode.com/problems/zigzag-iterator
283,Move Zeroes,"Array, Two Pointers",58.7%,Easy,15.4227,https://leetcode.com/problems/move-zeroes
332,Reconstruct Itinerary,"Depth-first Search, Graph",38.3%,Medium,2.15531,https://leetcode.com/problems/reconstruct-itinerary
349,Intersection of Two Arrays,"Hash Table, Two Pointers, Binary Search, Sort",65.5%,Easy,0.457789,https://leetcode.com/problems/intersection-of-two-arrays
350,Intersection of Two Arrays II,"Hash Table, Two Pointers, Binary Search, Sort",52.2%,Easy,0.788743,https://leetcode.com/problems/intersection-of-two-arrays-ii
356,Line Reflection,"Hash Table, Math",33.1%,Medium,100.0,https://leetcode.com/problems/line-reflection
362,Design Hit Counter,Design,65.6%,Medium,4.27504,https://leetcode.com/problems/design-hit-counter
380,Insert Delete GetRandom O(1),"Array, Hash Table, Design",49.2%,Medium,19.7725,https://leetcode.com/problems/insert-delete-getrandom-o1
392,Is Subsequence,"Binary Search, Dynamic Programming, Greedy",49.6%,Easy,1.22939,https://leetcode.com/problems/is-subsequence
443,String Compression,String,44.3%,Medium,25.7909,https://leetcode.com/problems/string-compression
470,Implement Rand10() Using Rand7(),"Random, Rejection Sampling",46.1%,Medium,5.0488,https://leetcode.com/problems/implement-rand10-using-rand7
487,Max Consecutive Ones II,Two Pointers,48.0%,Medium,18.4976,https://leetcode.com/problems/max-consecutive-ones-ii
560,Subarray Sum Equals K,"Array, Hash Table",43.7%,Medium,10.2373,https://leetcode.com/problems/subarray-sum-equals-k
567,Permutation in String,"Two Pointers, Sliding Window",44.6%,Medium,4.06532,https://leetcode.com/problems/permutation-in-string
658,Find K Closest Elements,Binary Search,42.4%,Medium,1.12564,https://leetcode.com/problems/find-k-closest-elements
771,Jewels and Stones,Hash Table,87.0%,Easy,0.523542,https://leetcode.com/problems/jewels-and-stones
849,Maximize Distance to Closest Person,Array,44.6%,Medium,17.4448,https://leetcode.com/problems/maximize-distance-to-closest-person
933,Number of Recent Calls,Queue,72.5%,Easy,5.5388,https://leetcode.com/problems/number-of-recent-calls
974,Subarray Sums Divisible by K,"Array, Hash Table",51.1%,Medium,2.17516,https://leetcode.com/problems/subarray-sums-divisible-by-k
977,Squares of a Sorted Array,"Array, Two Pointers",71.8%,Easy,0.9901,https://leetcode.com/problems/squares-of-a-sorted-array
986,Interval List Intersections,Two Pointers,68.6%,Medium,0.892279,https://leetcode.com/problems/interval-list-intersections
1004,Max Consecutive Ones III,"Two Pointers, Sliding Window",60.9%,Medium,4.76638,https://leetcode.com/problems/max-consecutive-ones-iii
1493,Longest Subarray of 1's After Deleting One Element,Array,57.7%,Medium,68.0546,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element
1650,Lowest Common Ancestor of a Binary Tree III,Tree,76.8%,Medium,1.42727,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii
