Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,4.443,https://leetcode.com/problems/two-sum
2,Add Two Numbers,"Linked List, Math, Recursion",35.8%,Medium,7.21478,https://leetcode.com/problems/add-two-numbers
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,8.14938,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,0.606213,https://leetcode.com/problems/median-of-two-sorted-arrays
6,ZigZag Conversion,String,38.4%,Medium,0.420865,https://leetcode.com/problems/zigzag-conversion
7,Reverse Integer,Math,26.0%,Easy,0.192539,https://leetcode.com/problems/reverse-integer
8,String to Integer (atoi),"Math, String",15.8%,Medium,0.21684,https://leetcode.com/problems/string-to-integer-atoi
9,Palindrome Number,Math,50.2%,Easy,0.294227,https://leetcode.com/problems/palindrome-number
12,Integer to Roman,"Math, String",57.2%,Medium,0.940511,https://leetcode.com/problems/integer-to-roman
14,Longest Common Prefix,String,36.3%,Easy,0.342649,https://leetcode.com/problems/longest-common-prefix
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.474859,https://leetcode.com/problems/3sum
16,3Sum Closest,"Array, Two Pointers",46.4%,Medium,0.346149,https://leetcode.com/problems/3sum-closest
18,4Sum,"Array, Hash Table, Two Pointers",35.2%,Medium,1.19329,https://leetcode.com/problems/4sum
19,Remove Nth Node From End of List,"Linked List, Two Pointers",36.2%,Medium,0.400211,https://leetcode.com/problems/remove-nth-node-from-end-of-list
20,Valid Parentheses,"String, Stack",40.0%,Easy,3.49983,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,0.701385,https://leetcode.com/problems/merge-two-sorted-lists
22,Generate Parentheses,"String, Backtracking",65.9%,Medium,0.560772,https://leetcode.com/problems/generate-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,6.54253,https://leetcode.com/problems/merge-k-sorted-lists
31,Next Permutation,Array,33.9%,Medium,0.645522,https://leetcode.com/problems/next-permutation
33,Search in Rotated Sorted Array,"Array, Binary Search",36.2%,Medium,0.66333,https://leetcode.com/problems/search-in-rotated-sorted-array
34,Find First and Last Position of Element in Sorted Array,"Array, Binary Search",37.6%,Medium,0.231536,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
38,Count and Say,String,46.3%,Medium,6.12468,https://leetcode.com/problems/count-and-say
39,Combination Sum,"Array, Backtracking",59.9%,Medium,1.12538,https://leetcode.com/problems/combination-sum
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,2.92387,https://leetcode.com/problems/trapping-rain-water
