Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
1,Two Sum,"Array, Hash Table",46.8%,Easy,0.0835683,https://leetcode.com/problems/two-sum
3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window",31.6%,Medium,0.305102,https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",31.5%,Hard,6.61521,https://leetcode.com/problems/median-of-two-sorted-arrays
5,Longest Palindromic Substring,"String, Dynamic Programming",30.7%,Medium,0.488876,https://leetcode.com/problems/longest-palindromic-substring
8,String to Integer (atoi),"Math, String",15.8%,Medium,1.44325,https://leetcode.com/problems/string-to-integer-atoi
11,Container With Most Water,"Array, Two Pointers",52.9%,Medium,1.03886,https://leetcode.com/problems/container-with-most-water
15,3Sum,"Array, Two Pointers",28.3%,Medium,0.127704,https://leetcode.com/problems/3sum
20,Valid Parentheses,"String, Stack",40.0%,Easy,0.240034,https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap",43.2%,Hard,0.544225,https://leetcode.com/problems/merge-k-sorted-lists
31,Next Permutation,Array,33.9%,Medium,0.308629,https://leetcode.com/problems/next-permutation
36,Valid Sudoku,Hash Table,51.0%,Medium,0.424323,https://leetcode.com/problems/valid-sudoku
42,Trapping Rain Water,"Array, Two Pointers, Dynamic Programming, Stack",51.8%,Hard,35.6309,https://leetcode.com/problems/trapping-rain-water
49,Group Anagrams,"Hash Table, String",59.9%,Medium,15.9372,https://leetcode.com/problems/group-anagrams
50,"Pow(x, n)","Math, Binary Search",31.1%,Medium,0.275109,https://leetcode.com/problems/powx-n
64,Minimum Path Sum,"Array, Dynamic Programming",56.6%,Medium,0.908321,https://leetcode.com/problems/minimum-path-sum
70,Climbing Stairs,Dynamic Programming,48.8%,Easy,0.366703,https://leetcode.com/problems/climbing-stairs
73,Set Matrix Zeroes,Array,44.7%,Medium,0.416997,https://leetcode.com/problems/set-matrix-zeroes
83,Remove Duplicates from Sorted List,Linked List,46.7%,Easy,2.11969,https://leetcode.com/problems/remove-duplicates-from-sorted-list
91,Decode Ways,"String, Dynamic Programming",27.0%,Medium,1.30252,https://leetcode.com/problems/decode-ways
103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, Breadth-first Search",50.6%,Medium,0.330004,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",51.9%,Easy,0.415109,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
141,Linked List Cycle,"Linked List, Two Pointers",43.2%,Easy,0.4157,https://leetcode.com/problems/linked-list-cycle
146,LRU Cache,Design,36.4%,Medium,0.529687,https://leetcode.com/problems/lru-cache
153,Find Minimum in Rotated Sorted Array,"Array, Binary Search",46.5%,Medium,1.39131,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
155,Min Stack,"Stack, Design",46.9%,Easy,0.29275,https://leetcode.com/problems/min-stack
166,Fraction to Recurring Decimal,"Hash Table, Math",22.5%,Medium,8.98942,https://leetcode.com/problems/fraction-to-recurring-decimal
171,Excel Sheet Column Number,Math,57.2%,Easy,0.769962,https://leetcode.com/problems/excel-sheet-column-number
200,Number of Islands,"Depth-first Search, Breadth-first Search, Union Find",49.7%,Medium,0.969488,https://leetcode.com/problems/number-of-islands
206,Reverse Linked List,Linked List,65.9%,Easy,0.113197,https://leetcode.com/problems/reverse-linked-list
208,Implement Trie (Prefix Tree),"Design, Trie",52.8%,Medium,0.517292,https://leetcode.com/problems/implement-trie-prefix-tree
209,Minimum Size Subarray Sum,"Array, Two Pointers, Binary Search",39.9%,Medium,27.3534,https://leetcode.com/problems/minimum-size-subarray-sum
215,Kth Largest Element in an Array,"Divide and Conquer, Heap",59.1%,Medium,0.896446,https://leetcode.com/problems/kth-largest-element-in-an-array
242,Valid Anagram,"Hash Table, Sort",59.0%,Easy,0.842102,https://leetcode.com/problems/valid-anagram
243,Shortest Word Distance,Array,62.2%,Easy,3.52631,https://leetcode.com/problems/shortest-word-distance
268,Missing Number,"Array, Math, Bit Manipulation",55.4%,Easy,0.256611,https://leetcode.com/problems/missing-number
274,H-Index,"Hash Table, Sort",36.5%,Medium,2.11211,https://leetcode.com/problems/h-index
295,Find Median from Data Stream,"Heap, Design",47.6%,Hard,1.67778,https://leetcode.com/problems/find-median-from-data-stream
322,Coin Change,Dynamic Programming,37.8%,Medium,3.52836,https://leetcode.com/problems/coin-change
344,Reverse String,"Two Pointers, String",70.8%,Easy,0.346751,https://leetcode.com/problems/reverse-string
387,First Unique Character in a String,"Hash Table, String",54.0%,Easy,15.686,https://leetcode.com/problems/first-unique-character-in-a-string
390,Elimination Game,,45.3%,Medium,14.8972,https://leetcode.com/problems/elimination-game
443,String Compression,String,44.3%,Medium,12.5884,https://leetcode.com/problems/string-compression
457,Circular Array Loop,"Array, Two Pointers",30.4%,Medium,3.95551,https://leetcode.com/problems/circular-array-loop
