Id,Title,Tags,Acceptance,Difficulty,Frequency,Link
20,Valid Parentheses,"String, Stack",40.0%,Easy,1.48812,https://leetcode.com/problems/valid-parentheses
21,Merge Two Sorted Lists,"Linked List, Recursion",56.5%,Easy,0.749603,https://leetcode.com/problems/merge-two-sorted-lists
88,Merge Sorted Array,"Array, Two Pointers",40.9%,Easy,2.32175,https://leetcode.com/problems/merge-sorted-array
206,Reverse Linked List,Linked List,65.9%,Easy,0.701782,https://leetcode.com/problems/reverse-linked-list
221,Maximal Square,Dynamic Programming,39.7%,Medium,100.0,https://leetcode.com/problems/maximal-square
239,Sliding Window Maximum,"Heap, Sliding Window, Dequeue",44.8%,Hard,2.54465,https://leetcode.com/problems/sliding-window-maximum
259,3Sum Smaller,"Array, Two Pointers",49.3%,Medium,64.2585,https://leetcode.com/problems/3sum-smaller
1010,Pairs of Songs With Total Durations Divisible by 60,Array,50.8%,Medium,10.8012,https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
1151,Minimum Swaps to Group All 1's Together,"Array, Sliding Window",58.7%,Medium,20.0838,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together
1518,Water Bottles,Greedy,60.5%,Easy,28.5169,https://leetcode.com/problems/water-bottles
